Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	
1426000	0.092720	3	0.193046	0.065010	0.865230	0.865230	0.065010	0.193046	
1427000	0.092720	3	0.192599	0.065441	0.871116	0.871116	0.065441	0.192599	
1428000	0.092720	3	0.181640	0.067443	0.828702	0.828702	0.067443	0.181640	
1429000	0.092720	3	0.191223	0.070358	0.843609	0.843609	0.070358	0.191223	
1430000	0.092720	3	0.198952	0.066019	0.853866	0.853866	0.066019	0.198952	
1431000	0.092720	3	0.179595	0.072242	0.810948	0.810948	0.072242	0.179595	
1432000	0.092720	3	0.194631	0.066822	0.859116	0.859116	0.066822	0.194631	
1433000	0.092720	3	0.198096	0.067289	0.811860	0.811860	0.067289	0.198096	
1434000	0.092720	3	0.197391	0.066616	0.832286	0.832286	0.066616	0.197391	
1435000	0.092720	3	0.195936	0.065273	0.834272	0.834272	0.065273	0.195936	
1436000	0.092720	3	0.192749	0.066280	0.798080	0.798080	0.066280	0.192749	
1437000	0.092720	3	0.194928	0.064458	0.861491	0.861491	0.064458	0.194928	
1438000	0.092720	4	0.174087	0.068191	0.824149	0.824149	0.068191	0.201781	
1439000	0.092720	3	0.152721	0.064876	0.857979	0.857979	0.064876	0.152721	
1440000	0.092720	3	0.193865	0.067820	0.914057	0.914057	0.067820	0.193865	
1441000	0.092720	3	0.187907	0.067557	0.849967	0.849967	0.067557	0.187907	
1442000	0.092720	3	0.188617	0.064427	0.829241	0.829241	0.064427	0.188617	
1443000	0.092720	3	0.202269	0.064775	0.884870	0.884870	0.064775	0.202269	
1444000	0.092720	3	0.197108	0.064529	0.870128	0.870128	0.064529	0.197108	
1445000	0.092720	3	0.198010	0.066556	0.886242	0.886242	0.066556	0.198010	
1446000	0.092720	3	0.165024	0.065929	0.884372	0.884372	0.065929	0.165024	
1447000	0.092720	3	0.190127	0.066369	0.809083	0.809083	0.066369	0.190127	
1448000	0.092720	3	0.185989	0.066594	0.850657	0.850657	0.066594	0.185989	
1449000	0.092720	3	0.189501	0.064098	0.841082	0.841082	0.064098	0.189501	
1450000	0.092720	3	0.179113	0.066112	0.816172	0.816172	0.066112	0.179113	
1451000	0.092720	3	0.186848	0.064496	0.886275	0.886275	0.064496	0.186848	
1452000	0.092720	3	0.153448	0.063529	0.842370	0.842370	0.063529	0.153448	
1453000	0.092720	4	0.186055	0.067446	0.847985	0.847985	0.067446	0.199206	
1454000	0.092720	3	0.190287	0.066845	0.881414	0.881414	0.066845	0.190287	
1455000	0.092720	3	0.187177	0.067213	0.849426	0.849426	0.067213	0.187177	
1456000	0.092720	3	0.196986	0.062978	0.876819	0.876819	0.062978	0.196986	
1457000	0.092720	3	0.187484	0.066474	0.826589	0.826589	0.066474	0.187484	
1458000	0.092720	3	0.191638	0.063683	0.870044	0.870044	0.063683	0.191638	
1459000	0.092720	3	0.195801	0.067467	0.824446	0.824446	0.067467	0.195801	
1460000	0.092720	4	0.160254	0.064912	0.833191	0.833191	0.064912	0.203168	
1461000	0.092720	3	0.193704	0.065266	0.852274	0.852274	0.065266	0.193704	
1462000	0.092720	4	0.159563	0.064435	0.787628	0.787628	0.064435	0.179759	
1463000	0.092720	3	0.190256	0.065473	0.823069	0.823069	0.065473	0.190256	
1464000	0.092720	3	0.187357	0.067047	0.862013	0.862013	0.067047	0.187357	
1465000	0.092720	3	0.187755	0.068460	0.823437	0.823437	0.068460	0.187755	
1466000	0.092720	3	0.202275	0.067074	0.875377	0.875377	0.067074	0.202275	
1467000	0.092720	3	0.195303	0.065658	0.847176	0.847176	0.065658	0.195303	
1468000	0.092720	4	0.195170	0.066861	0.913784	0.913784	0.066861	0.207865	
1469000	0.092720	3	0.199116	0.066880	0.791204	0.791204	0.066880	0.199116	
1470000	0.092720	3	0.189165	0.065334	0.869072	0.869072	0.065334	0.189165	
1471000	0.092720	4	0.168447	0.068629	0.817520	0.817520	0.068629	0.199789	
1472000	0.092720	3	0.188733	0.068763	0.833289	0.833289	0.068763	0.188733	
1473000	0.092720	4	0.176840	0.068591	0.835850	0.835850	0.068591	0.216444	
1474000	0.092720	3	0.159896	0.065560	0.856402	0.856402	0.065560	0.159896	
1475000	0.092720	3	0.184988	0.066177	0.856967	0.856967	0.066177	0.184988	
1476000	0.092720	3	0.188521	0.065520	0.814366	0.814366	0.065520	0.188521	
1477000	0.092720	4	0.184634	0.060054	0.877313	0.877313	0.060054	0.202895	
1478000	0.092720	3	0.197176	0.064556	0.873918	0.873918	0.064556	0.197176	
1479000	0.092720	3	0.188809	0.069810	0.877261	0.877261	0.069810	0.188809	
1480000	0.092720	3	0.190086	0.069116	0.864361	0.864361	0.069116	0.190086	
1481000	0.092720	3	0.197714	0.067280	0.850845	0.850845	0.067280	0.197714	
1482000	0.092720	3	0.187342	0.069984	0.809404	0.809404	0.069984	0.187342	
1483000	0.092720	3	0.187205	0.066165	0.907250	0.907250	0.066165	0.187205	
1484000	0.092720	3	0.183315	0.066984	0.845259	0.845259	0.066984	0.183315	
1485000	0.092720	3	0.186446	0.065727	0.832334	0.832334	0.065727	0.186446	
1486000	0.092720	4	0.178380	0.064328	0.862052	0.862052	0.064328	0.209768	
1487000	0.092720	4	0.165235	0.066227	0.854281	0.854281	0.066227	0.242398	
1488000	0.092720	3	0.200127	0.069772	0.869042	0.869042	0.069772	0.200127	
1489000	0.092720	3	0.195648	0.068458	0.894233	0.894233	0.068458	0.195648	
1490000	0.092720	4	0.157862	0.067017	0.853740	0.853740	0.067017	0.195681	
1491000	0.092720	3	0.152446	0.066325	0.791374	0.791374	0.066325	0.152446	
1492000	0.092720	3	0.204414	0.067805	0.838231	0.838231	0.067805	0.204414	
1493000	0.092720	4	0.166799	0.062505	0.827331	0.827331	0.062505	0.205465	
1494000	0.092720	3	0.184704	0.065390	0.833574	0.833574	0.065390	0.184704	
1495000	0.092720	3	0.213564	0.064640	0.881038	0.881038	0.064640	0.213564	
1496000	0.092720	3	0.207145	0.064994	0.900875	0.900875	0.064994	0.207145	
1497000	0.092720	3	0.194647	0.064088	0.812194	0.812194	0.064088	0.194647	
1498000	0.092720	3	0.194005	0.066337	0.829100	0.829100	0.066337	0.194005	
1499000	0.092720	3	0.172385	0.067675	0.823967	0.823967	0.067675	0.172385	
1500000	0.092720	3	0.187650	0.066913	0.863789	0.863789	0.066913	0.187650	
1501000	0.092720	3	0.191338	0.064869	0.835528	0.835528	0.064869	0.191338	
1502000	0.092720	3	0.216432	0.065789	0.845129	0.845129	0.065789	0.216432	
1503000	0.092720	3	0.186837	0.064660	0.842426	0.842426	0.064660	0.186837	
1504000	0.092720	3	0.192914	0.064868	0.808440	0.808440	0.064868	0.192914	
1505000	0.092720	3	0.197223	0.066613	0.830204	0.830204	0.066613	0.197223	
