Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
139000	0.085832	2	5.918732	17.162016	5.918732	5.918732	5.918732	5.918732	5.918732	
140000	0.085832	2	5.653157	18.627532	5.653157	5.653157	5.653157	5.653157	5.653157	
141000	0.085832	2	5.607924	18.254354	5.607924	5.607924	5.607924	5.607924	5.607924	
142000	0.085832	2	5.747055	18.206102	5.747055	5.747055	5.747055	5.747055	5.747055	
143000	0.085832	2	5.445176	17.498015	5.445176	5.445176	5.445176	5.445176	5.445176	
144000	0.085832	2	5.699581	17.880204	5.699581	5.699581	5.699581	5.699581	5.699581	
145000	0.085832	2	5.788229	19.197280	5.788229	5.788229	5.788229	5.788229	5.788229	
146000	0.085832	2	5.699459	16.731961	5.699459	5.699459	5.699459	5.699459	5.699459	
147000	0.085832	2	5.590061	18.237226	5.590061	5.590061	5.590061	5.590061	5.590061	
148000	0.085832	2	5.421631	18.019052	5.421631	5.421631	5.421631	5.421631	5.421631	
149000	0.085832	2	5.568597	19.558227	5.568597	5.568597	5.568597	5.568597	5.568597	
150000	0.085832	2	5.657784	19.444163	5.657784	5.657784	5.657784	5.657784	5.657784	
151000	0.085832	2	5.817767	19.919634	5.817767	5.817767	5.817767	5.817767	5.817767	
152000	0.085832	2	5.673684	20.068815	5.673684	5.673684	5.673684	5.673684	5.673684	
153000	0.085832	2	5.700184	17.462803	5.700184	5.700184	5.700184	5.700184	5.700184	
154000	0.085832	2	5.952161	21.266303	5.952161	5.952161	5.952161	5.952161	5.952161	
155000	0.085832	2	5.509640	16.804275	5.509640	5.509640	5.509640	5.509640	5.509640	
156000	0.085832	2	5.376824	17.898988	5.376824	5.376824	5.376824	5.376824	5.376824	
157000	0.085832	2	5.355694	19.666954	5.355694	5.355694	5.355694	5.355694	5.355694	
158000	0.085832	2	5.602263	17.177362	5.602263	5.602263	5.602263	5.602263	5.602263	
159000	0.085832	2	5.710818	20.345669	5.710818	5.710818	5.710818	5.710818	5.710818	
160000	0.085832	2	5.660995	18.664184	5.660995	5.660995	5.660995	5.660995	5.660995	
161000	0.085832	2	5.681120	17.944465	5.681120	5.681120	5.681120	5.681120	5.681120	
162000	0.085832	2	5.086774	17.192804	5.086774	5.086774	5.086774	5.086774	5.086774	
163000	0.085832	2	5.340056	18.666574	5.340056	5.340056	5.340056	5.340056	5.340056	
164000	0.085832	2	5.384110	17.004829	5.384110	5.384110	5.384110	5.384110	5.384110	
165000	0.085832	2	5.566772	19.853538	5.566772	5.566772	5.566772	5.566772	5.566772	
166000	0.085832	2	6.539928	22.608642	6.539928	6.539928	6.539928	6.539928	6.539928	
167000	0.085832	2	7.015583	18.373494	7.015583	7.015583	7.015583	7.015583	7.015583	
168000	0.085832	2	5.957066	16.457705	5.957066	5.957066	5.957066	5.957066	5.957066	
169000	0.085832	2	5.998686	16.439167	5.998686	5.998686	5.998686	5.998686	5.998686	
170000	0.085832	2	5.457671	18.573060	5.457671	5.457671	5.457671	5.457671	5.457671	
171000	0.085832	2	5.499835	18.346384	5.499835	5.499835	5.499835	5.499835	5.499835	
172000	0.085832	2	5.287844	17.264722	5.287844	5.287844	5.287844	5.287844	5.287844	
173000	0.085832	2	5.296573	18.572351	5.296573	5.296573	5.296573	5.296573	5.296573	
174000	0.085832	2	4.910856	19.912251	4.910856	4.910856	4.910856	4.910856	4.910856	
175000	0.085832	2	5.759142	19.524766	5.759142	5.759142	5.759142	5.759142	5.759142	
176000	0.085832	2	5.425300	18.948619	5.425300	5.425300	5.425300	5.425300	5.425300	
177000	0.085832	2	5.483438	17.691809	5.483438	5.483438	5.483438	5.483438	5.483438	
178000	0.085832	2	5.543162	17.065243	5.543162	5.543162	5.543162	5.543162	5.543162	
179000	0.085832	2	6.005679	17.210684	6.005679	6.005679	6.005679	6.005679	6.005679	
180000	0.085832	2	5.632771	18.854518	5.632771	5.632771	5.632771	5.632771	5.632771	
181000	0.085832	2	5.696855	18.257528	5.696855	5.696855	5.696855	5.696855	5.696855	
182000	0.085832	2	5.166890	18.744910	5.166890	5.166890	5.166890	5.166890	5.166890	
183000	0.085832	2	5.544246	17.054477	5.544246	5.544246	5.544246	5.544246	5.544246	
184000	0.085832	2	5.101841	18.111636	5.101841	5.101841	5.101841	5.101841	5.101841	
185000	0.085832	2	5.469729	17.631430	5.469729	5.469729	5.469729	5.469729	5.469729	
186000	0.085832	2	5.275603	18.258722	5.275603	5.275603	5.275603	5.275603	5.275603	
187000	0.085832	2	5.317340	18.281687	5.317340	5.317340	5.317340	5.317340	5.317340	
188000	0.085832	2	5.713225	17.429849	5.713225	5.713225	5.713225	5.713225	5.713225	
189000	0.085832	2	5.581747	17.045311	5.581747	5.581747	5.581747	5.581747	5.581747	
190000	0.085832	2	5.699179	17.510055	5.699179	5.699179	5.699179	5.699179	5.699179	
191000	0.085832	2	6.196613	19.278920	6.196613	6.196613	6.196613	6.196613	6.196613	
192000	0.085832	2	5.672672	18.531804	5.672672	5.672672	5.672672	5.672672	5.672672	
193000	0.085832	2	5.874669	19.303158	5.874669	5.874669	5.874669	5.874669	5.874669	
194000	0.085832	2	5.402712	20.382471	5.402712	5.402712	5.402712	5.402712	5.402712	
195000	0.085832	2	5.607370	19.207986	5.607370	5.607370	5.607370	5.607370	5.607370	
196000	0.085832	2	5.499449	17.524040	5.499449	5.499449	5.499449	5.499449	5.499449	
197000	0.085832	2	5.202890	17.717331	5.202890	5.202890	5.202890	5.202890	5.202890	
198000	0.085832	2	5.569544	17.499227	5.569544	5.569544	5.569544	5.569544	5.569544	
199000	0.085832	2	5.572061	17.747729	5.572061	5.572061	5.572061	5.572061	5.572061	
200000	0.085832	2	5.382281	16.165481	5.382281	5.382281	5.382281	5.382281	5.382281	
201000	0.085832	2	5.766128	17.343789	5.766128	5.766128	5.766128	5.766128	5.766128	
202000	0.085832	2	5.768019	16.581242	5.768019	5.768019	5.768019	5.768019	5.768019	
203000	0.085832	2	5.799690	17.981259	5.799690	5.799690	5.799690	5.799690	5.799690	
204000	0.085832	2	5.850851	17.333046	5.850851	5.850851	5.850851	5.850851	5.850851	
205000	0.085832	2	5.642759	17.125058	5.642759	5.642759	5.642759	5.642759	5.642759	
206000	0.085832	2	5.582201	18.731386	5.582201	5.582201	5.582201	5.582201	5.582201	
207000	0.085832	2	5.516544	17.254843	5.516544	5.516544	5.516544	5.516544	5.516544	
208000	0.085832	2	5.464150	21.350302	5.464150	5.464150	5.464150	5.464150	5.464150	
209000	0.085832	2	5.460689	18.745925	5.460689	5.460689	5.460689	5.460689	5.460689	
210000	0.085832	2	5.615203	16.716069	5.615203	5.615203	5.615203	5.615203	5.615203	
211000	0.085832	2	5.273489	17.542327	5.273489	5.273489	5.273489	5.273489	5.273489	
212000	0.085832	2	5.665563	17.379175	5.665563	5.665563	5.665563	5.665563	5.665563	
213000	0.085832	2	4.913089	16.905629	4.913089	4.913089	4.913089	4.913089	4.913089	
214000	0.085832	2	5.584765	16.519309	5.584765	5.584765	5.584765	5.584765	5.584765	
215000	0.085832	2	5.851632	18.494029	5.851632	5.851632	5.851632	5.851632	5.851632	
216000	0.085832	2	5.553122	17.415187	5.553122	5.553122	5.553122	5.553122	5.553122	
217000	0.085832	2	5.899710	19.855789	5.899710	5.899710	5.899710	5.899710	5.899710	
218000	0.085832	2	5.882987	19.919703	5.882987	5.882987	5.882987	5.882987	5.882987	
219000	0.085832	2	5.495853	19.173966	5.495853	5.495853	5.495853	5.495853	5.495853	
220000	0.085832	2	5.786446	17.205242	5.786446	5.786446	5.786446	5.786446	5.786446	
221000	0.085832	2	5.658109	17.052815	5.658109	5.658109	5.658109	5.658109	5.658109	
222000	0.085832	2	4.974649	18.532217	4.974649	4.974649	4.974649	4.974649	4.974649	
223000	0.085832	2	5.129963	18.992724	5.129963	5.129963	5.129963	5.129963	5.129963	
