Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
8842000	0.085832	3	0.268225	1.649692	0.268225	0.158070	0.158070	0.158070	1.649692	
8843000	0.085832	3	0.282562	1.235326	0.282562	0.136924	0.136924	0.136924	1.235326	
8844000	0.085832	3	0.274029	1.412417	0.274029	0.149218	0.149218	0.149218	1.412417	
8845000	0.085832	3	0.258674	1.318665	0.258674	0.153967	0.153967	0.153967	1.318665	
8846000	0.085832	3	0.267293	1.499227	0.267293	0.145009	0.145009	0.145009	1.499227	
8847000	0.085832	3	0.268329	1.439435	0.268329	0.160835	0.160835	0.160835	1.439435	
8848000	0.085832	3	0.269776	1.634261	0.269776	0.153427	0.153427	0.153427	1.634261	
8849000	0.085832	3	0.261917	1.855239	0.261917	0.165395	0.165395	0.165395	1.855239	
8850000	0.085832	3	0.245065	1.489351	0.245065	0.160379	0.160379	0.160379	1.489351	
8851000	0.085832	3	0.250093	1.516961	0.250093	0.149762	0.149762	0.149762	1.516961	
8852000	0.085832	3	0.265134	1.287119	0.265134	0.144704	0.144704	0.144704	1.287119	
8853000	0.085832	3	0.276616	1.235615	0.276616	0.149798	0.149798	0.149798	1.235615	
8854000	0.085832	3	0.268963	1.320309	0.268963	0.140932	0.140932	0.140932	1.320309	
8855000	0.085832	3	0.270183	1.272990	0.270183	0.159558	0.159558	0.159558	1.272990	
8856000	0.085832	3	0.254645	1.466513	0.254645	0.128334	0.254645	0.128334	1.466513	
8857000	0.085832	4	0.293343	1.487370	0.293343	0.152359	0.152359	0.152359	1.154376	
8858000	0.085832	3	0.273078	1.419233	0.273078	0.170278	0.170278	0.170278	1.419233	
8859000	0.085832	3	0.268589	1.356765	0.268589	0.146691	0.146691	0.146691	1.356765	
8860000	0.085832	3	0.252135	1.303215	0.252135	0.143497	0.252135	0.143497	1.303215	
8861000	0.085832	3	0.252850	1.614913	0.252850	0.156408	0.156408	0.156408	1.614913	
8862000	0.085832	3	0.249965	1.382107	0.249965	0.144090	0.144090	0.144090	1.382107	
8863000	0.085832	3	0.251381	1.260167	0.251381	0.151793	0.151793	0.151793	1.260167	
8864000	0.085832	3	0.243216	1.618577	0.243216	0.151464	0.243216	0.151464	1.618577	
8865000	0.085832	3	0.252513	1.257006	0.252513	0.162262	0.162262	0.162262	1.257006	
8866000	0.085832	3	0.262628	1.533964	0.262628	0.137638	0.137638	0.137638	1.533964	
8867000	0.085832	3	0.266593	1.286092	0.266593	0.144533	0.144533	0.144533	1.286092	
8868000	0.085832	3	0.283482	1.400556	0.283482	0.145767	0.145767	0.145767	1.400556	
8869000	0.085832	3	0.270656	1.650286	0.270656	0.161110	0.161110	0.161110	1.650286	
8870000	0.085832	3	0.256018	1.626820	0.256018	0.152468	0.152468	0.152468	1.626820	
8871000	0.085832	3	0.252661	1.324902	0.252661	0.148951	0.148951	0.148951	1.324902	
