Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	
8390000	0.529975	3	0.251258	1.418683	0.251258	0.171696	0.171696	0.171696	1.418683	
8391000	0.529975	3	0.268654	1.266138	0.268654	0.141773	0.141773	0.141773	1.266138	
8392000	0.529975	4	0.273994	1.504418	0.273994	0.117876	0.176057	0.176057	1.504418	
8393000	0.529975	3	0.262240	1.597401	0.262240	0.158679	0.262240	0.158679	1.597401	
8394000	0.529975	3	0.240931	1.237500	0.240931	0.145101	0.240931	0.145101	1.237500	
8395000	0.529975	3	0.276487	1.698391	0.276487	0.154500	0.154500	0.154500	1.698391	
8396000	0.529975	4	0.280191	1.484848	0.280191	0.145352	0.145352	0.145352	1.174650	
8397000	0.529975	3	0.305646	1.450441	0.305646	0.164738	0.164738	0.164738	1.450441	
8398000	0.529975	3	0.288285	1.404735	0.288285	0.168377	0.168377	0.168377	1.404735	
8399000	0.529975	4	0.283231	1.315583	0.283231	0.110281	0.151691	0.151691	1.315583	
8400000	0.529975	3	0.228714	1.503878	0.228714	0.145995	0.145995	0.145995	1.503878	
8401000	0.529975	3	0.265770	1.556651	0.265770	0.142373	0.142373	0.142373	1.556651	
8402000	0.529975	3	0.267164	1.232372	0.267164	0.151491	0.151491	0.151491	1.232372	
8403000	0.529975	3	0.293863	1.580537	0.293863	0.148641	0.148641	0.148641	1.580537	
8404000	0.529975	3	0.275802	1.477343	0.275802	0.146005	0.146005	0.146005	1.477343	
8405000	0.529975	3	0.284041	1.331365	0.284041	0.165586	0.165586	0.165586	1.331365	
8406000	0.529975	3	0.263827	1.490079	0.263827	0.156185	0.156185	0.156185	1.490079	
8407000	0.529975	3	0.273649	1.319477	0.273649	0.164683	0.164683	0.164683	1.319477	
8408000	0.529975	3	0.253265	1.529934	0.253265	0.154656	0.154656	0.154656	1.529934	
8409000	0.529975	3	0.273543	1.448581	0.273543	0.156421	0.156421	0.156421	1.448581	
8410000	0.529975	3	0.280223	1.403894	0.280223	0.146685	0.146685	0.146685	1.403894	
8411000	0.529975	3	0.286927	1.311217	0.286927	0.163465	0.163465	0.163465	1.311217	
8412000	0.529975	3	0.261399	1.418706	0.261399	0.155257	0.155257	0.155257	1.418706	
8413000	0.529975	3	0.271739	1.386022	0.271739	0.145648	0.145648	0.145648	1.386022	
8414000	0.529975	4	0.262476	1.330389	0.262476	0.128917	0.140384	0.140384	1.330389	
8415000	0.529975	3	0.269970	1.342135	0.269970	0.141742	0.141742	0.141742	1.342135	
8416000	0.529975	4	0.240964	1.260173	0.240964	0.148995	0.148995	0.148995	1.263217	
8417000	0.529975	4	0.273872	1.226603	0.250811	0.154760	0.154760	0.154760	1.226603	
8418000	0.529975	3	0.243575	1.850869	0.243575	0.162224	0.162224	0.162224	1.850869	
8419000	0.529975	3	0.247749	1.719663	0.247749	0.155306	0.155306	0.155306	1.719663	
8420000	0.529975	5	0.287520	1.542812	0.287520	0.128283	0.190139	0.184162	1.542812	
8421000	0.529975	4	0.319830	1.505022	0.319830	0.098475	0.200565	0.200565	1.505022	
8422000	0.529975	3	0.292567	1.688355	0.292567	0.156667	0.156667	0.156667	1.688355	
8423000	0.529975	3	0.260823	1.684465	0.260823	0.142577	0.142577	0.142577	1.684465	
8424000	0.529975	3	0.252479	1.286102	0.252479	0.153815	0.153815	0.153815	1.286102	
8425000	0.529975	4	0.259189	1.454141	0.259189	0.147663	0.149447	0.149447	1.454141	
8426000	0.529975	3	0.278038	1.239176	0.278038	0.143484	0.143484	0.143484	1.239176	
8427000	0.529975	3	0.263138	1.358654	0.263138	0.135629	0.263138	0.135629	1.358654	
8428000	0.529975	3	0.280870	1.491175	0.280870	0.169720	0.169720	0.169720	1.491175	
8429000	0.529975	3	0.280186	1.296950	0.280186	0.149670	0.149670	0.149670	1.296950	
8430000	0.529975	3	0.259713	1.491400	0.259713	0.139773	0.139773	0.139773	1.491400	
8431000	0.529975	3	0.249321	1.396201	0.249321	0.141090	0.141090	0.141090	1.396201	
8432000	0.529975	4	0.272076	1.373830	0.272076	0.143515	0.163361	0.163361	1.373830	
8433000	0.529975	3	0.281233	1.328890	0.281233	0.145322	0.145322	0.145322	1.328890	
8434000	0.529975	3	0.263506	1.372442	0.263506	0.166671	0.166671	0.166671	1.372442	
8435000	0.529975	4	0.282771	1.408484	0.282771	0.136198	0.199884	0.136198	1.408484	
8436000	0.529975	3	0.277668	1.393670	0.277668	0.174084	0.174084	0.174084	1.393670	
8437000	0.529975	3	0.254129	1.635052	0.254129	0.138897	0.138897	0.138897	1.635052	
8438000	0.529975	4	0.276286	1.642827	0.276286	0.143741	0.143741	0.132553	1.642827	
8439000	0.529975	4	0.259207	1.525429	0.259207	0.140986	0.160633	0.160633	1.525429	
8440000	0.529975	4	0.265290	1.519527	0.265290	0.132337	0.265290	0.132337	1.993808	
