Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
5919000	0.529975	2	0.342309	0.274426	0.126667	0.256598	0.342309	0.274426	0.126667	0.256598	0.193186	0.261799	0.278091	0.266925	0.193186	0.261799	0.278091	0.266925	0.193186	0.261799	0.278091	0.266925	0.342309	0.274426	0.126667	0.256598	0.193186	0.261799	0.278091	0.266925	
5920000	0.529975	2	0.342309	0.274426	0.126667	0.256598	0.342309	0.274426	0.126667	0.256598	0.201424	0.256206	0.264386	0.277984	0.201424	0.256206	0.264386	0.277984	0.201424	0.256206	0.264386	0.277984	0.342309	0.274426	0.126667	0.256598	0.201424	0.256206	0.264386	0.277984	
5921000	0.529975	2	0.342309	0.274426	0.126667	0.256598	0.342309	0.274426	0.126667	0.256598	0.195604	0.251423	0.261931	0.291042	0.195604	0.251423	0.261931	0.291042	0.195604	0.251423	0.261931	0.291042	0.342309	0.274426	0.126667	0.256598	0.195604	0.251423	0.261931	0.291042	
5922000	0.529975	3	0.331834	0.277462	0.124844	0.265859	0.331834	0.277462	0.124844	0.265859	0.207736	0.267650	0.265231	0.259384	0.057179	0.306583	0.189015	0.447222	0.207736	0.267650	0.265231	0.259384	0.331834	0.277462	0.124844	0.265859	0.207736	0.267650	0.265231	0.259384	
5923000	0.529975	2	0.321707	0.286347	0.127669	0.264277	0.321707	0.286347	0.127669	0.264277	0.201892	0.253867	0.285049	0.259192	0.201892	0.253867	0.285049	0.259192	0.201892	0.253867	0.285049	0.259192	0.321707	0.286347	0.127669	0.264277	0.201892	0.253867	0.285049	0.259192	
5924000	0.529975	2	0.329580	0.283614	0.138201	0.248605	0.329580	0.283614	0.138201	0.248605	0.186239	0.271828	0.263110	0.278823	0.186239	0.271828	0.263110	0.278823	0.186239	0.271828	0.263110	0.278823	0.329580	0.283614	0.138201	0.248605	0.186239	0.271828	0.263110	0.278823	
5925000	0.529975	2	0.336285	0.278901	0.125442	0.259372	0.336285	0.278901	0.125442	0.259372	0.201175	0.254671	0.263160	0.280993	0.201175	0.254671	0.263160	0.280993	0.201175	0.254671	0.263160	0.280993	0.336285	0.278901	0.125442	0.259372	0.201175	0.254671	0.263160	0.280993	
5926000	0.529975	2	0.321807	0.288568	0.126540	0.263086	0.321807	0.288568	0.126540	0.263086	0.194224	0.240497	0.289080	0.276199	0.194224	0.240497	0.289080	0.276199	0.194224	0.240497	0.289080	0.276199	0.321807	0.288568	0.126540	0.263086	0.194224	0.240497	0.289080	0.276199	
5927000	0.529975	2	0.321807	0.288568	0.126540	0.263086	0.321807	0.288568	0.126540	0.263086	0.198079	0.266894	0.251870	0.283157	0.198079	0.266894	0.251870	0.283157	0.198079	0.266894	0.251870	0.283157	0.321807	0.288568	0.126540	0.263086	0.198079	0.266894	0.251870	0.283157	
5928000	0.529975	2	0.321807	0.288568	0.126540	0.263086	0.321807	0.288568	0.126540	0.263086	0.202569	0.274859	0.253321	0.269250	0.202569	0.274859	0.253321	0.269250	0.202569	0.274859	0.253321	0.269250	0.321807	0.288568	0.126540	0.263086	0.202569	0.274859	0.253321	0.269250	
5929000	0.529975	2	0.321807	0.288568	0.126540	0.263086	0.321807	0.288568	0.126540	0.263086	0.171553	0.279647	0.302881	0.245919	0.171553	0.279647	0.302881	0.245919	0.171553	0.279647	0.302881	0.245919	0.321807	0.288568	0.126540	0.263086	0.171553	0.279647	0.302881	0.245919	
5930000	0.529975	3	0.315054	0.290437	0.115546	0.278963	0.315054	0.290437	0.115546	0.278963	0.191763	0.264427	0.271646	0.272163	0.191763	0.264427	0.271646	0.272163	0.191763	0.264427	0.271646	0.272163	0.338483	0.187181	0.126057	0.348279	0.191763	0.264427	0.271646	0.272163	
