Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	
173000	0.529975	2	5.359233	17.676811	5.359233	5.359233	5.359233	5.359233	5.359233	
174000	0.529975	2	5.720809	17.793269	5.720809	5.720809	5.720809	5.720809	5.720809	
175000	0.529975	2	5.295429	18.481512	5.295429	5.295429	5.295429	5.295429	5.295429	
176000	0.529975	2	5.545934	16.714760	5.545934	5.545934	5.545934	5.545934	5.545934	
177000	0.529975	2	5.688321	16.696976	5.688321	5.688321	5.688321	5.688321	5.688321	
178000	0.529975	2	5.478323	18.159585	5.478323	5.478323	5.478323	5.478323	5.478323	
179000	0.529975	2	5.540603	20.075277	5.540603	5.540603	5.540603	5.540603	5.540603	
180000	0.529975	2	5.507698	18.081934	5.507698	5.507698	5.507698	5.507698	5.507698	
181000	0.529975	2	5.389341	17.602671	5.389341	5.389341	5.389341	5.389341	5.389341	
182000	0.529975	2	5.753359	17.419380	5.753359	5.753359	5.753359	5.753359	5.753359	
183000	0.529975	2	5.696501	18.814399	5.696501	5.696501	5.696501	5.696501	5.696501	
184000	0.529975	2	5.762817	17.389180	5.762817	5.762817	5.762817	5.762817	5.762817	
185000	0.529975	2	5.789877	15.961074	5.789877	5.789877	5.789877	5.789877	5.789877	
186000	0.529975	2	5.510665	17.822054	5.510665	5.510665	5.510665	5.510665	5.510665	
187000	0.529975	2	5.633682	19.901690	5.633682	5.633682	5.633682	5.633682	5.633682	
188000	0.529975	2	5.857616	17.953543	5.857616	5.857616	5.857616	5.857616	5.857616	
189000	0.529975	2	5.538157	18.146377	5.538157	5.538157	5.538157	5.538157	5.538157	
190000	0.529975	2	5.392201	18.061993	5.392201	5.392201	5.392201	5.392201	5.392201	
191000	0.529975	2	5.358730	17.664495	5.358730	5.358730	5.358730	5.358730	5.358730	
192000	0.529975	2	5.463836	16.550129	5.463836	5.463836	5.463836	5.463836	5.463836	
193000	0.529975	2	4.973629	16.258621	4.973629	4.973629	4.973629	4.973629	4.973629	
194000	0.529975	2	5.612874	17.807520	5.612874	5.612874	5.612874	5.612874	5.612874	
195000	0.529975	2	5.763877	18.766072	5.763877	5.763877	5.763877	5.763877	5.763877	
196000	0.529975	2	5.426209	17.844704	5.426209	5.426209	5.426209	5.426209	5.426209	
197000	0.529975	2	5.900943	19.453597	5.900943	5.900943	5.900943	5.900943	5.900943	
198000	0.529975	2	6.056817	19.019532	6.056817	6.056817	6.056817	6.056817	6.056817	
199000	0.529975	2	5.334056	18.287137	5.334056	5.334056	5.334056	5.334056	5.334056	
200000	0.529975	2	5.663607	17.881164	5.663607	5.663607	5.663607	5.663607	5.663607	
201000	0.529975	2	6.001621	18.071588	6.001621	6.001621	6.001621	6.001621	6.001621	
202000	0.529975	2	6.077902	17.330869	6.077902	6.077902	6.077902	6.077902	6.077902	
203000	0.529975	2	5.421581	20.501126	5.421581	5.421581	5.421581	5.421581	5.421581	
204000	0.529975	2	5.480597	18.561174	5.480597	5.480597	5.480597	5.480597	5.480597	
205000	0.529975	2	5.852388	18.348534	5.852388	5.852388	5.852388	5.852388	5.852388	
206000	0.529975	2	5.786758	19.087497	5.786758	5.786758	5.786758	5.786758	5.786758	
207000	0.529975	2	5.544590	19.094555	5.544590	5.544590	5.544590	5.544590	5.544590	
208000	0.529975	2	5.660039	17.363570	5.660039	5.660039	5.660039	5.660039	5.660039	
209000	0.529975	2	5.374079	17.453260	5.374079	5.374079	5.374079	5.374079	5.374079	
210000	0.529975	2	5.852806	18.587664	5.852806	5.852806	5.852806	5.852806	5.852806	
211000	0.529975	2	5.563478	15.821347	5.563478	5.563478	5.563478	5.563478	5.563478	
212000	0.529975	2	5.421743	17.712396	5.421743	5.421743	5.421743	5.421743	5.421743	
213000	0.529975	2	5.533863	17.410194	5.533863	5.533863	5.533863	5.533863	5.533863	
214000	0.529975	2	5.728333	18.093622	5.728333	5.728333	5.728333	5.728333	5.728333	
215000	0.529975	2	5.304377	17.098863	5.304377	5.304377	5.304377	5.304377	5.304377	
216000	0.529975	2	5.711794	17.891764	5.711794	5.711794	5.711794	5.711794	5.711794	
217000	0.529975	2	5.708425	19.052348	5.708425	5.708425	5.708425	5.708425	5.708425	
218000	0.529975	2	6.352603	18.165991	6.352603	6.352603	6.352603	6.352603	6.352603	
219000	0.529975	2	5.946246	16.722726	5.946246	5.946246	5.946246	5.946246	5.946246	
220000	0.529975	2	5.575459	19.050446	5.575459	5.575459	5.575459	5.575459	5.575459	
221000	0.529975	2	5.380138	16.870114	5.380138	5.380138	5.380138	5.380138	5.380138	
222000	0.529975	2	5.494427	17.354592	5.494427	5.494427	5.494427	5.494427	5.494427	
223000	0.529975	2	6.135601	19.989722	6.135601	6.135601	6.135601	6.135601	6.135601	
224000	0.529975	2	5.410694	17.503738	5.410694	5.410694	5.410694	5.410694	5.410694	
225000	0.529975	2	6.235802	17.276663	6.235802	6.235802	6.235802	6.235802	6.235802	
226000	0.529975	2	6.265132	19.475132	6.265132	6.265132	6.265132	6.265132	6.265132	
227000	0.529975	2	5.401581	16.713125	5.401581	5.401581	5.401581	5.401581	5.401581	
228000	0.529975	2	5.554409	17.966396	5.554409	5.554409	5.554409	5.554409	5.554409	
229000	0.529975	2	5.010194	17.614196	5.010194	5.010194	5.010194	5.010194	5.010194	
230000	0.529975	2	5.491637	18.509687	5.491637	5.491637	5.491637	5.491637	5.491637	
231000	0.529975	2	5.702251	18.915321	5.702251	5.702251	5.702251	5.702251	5.702251	
232000	0.529975	2	5.730920	16.546039	5.730920	5.730920	5.730920	5.730920	5.730920	
233000	0.529975	2	5.308278	16.246392	5.308278	5.308278	5.308278	5.308278	5.308278	
234000	0.529975	2	5.933650	18.442318	5.933650	5.933650	5.933650	5.933650	5.933650	
235000	0.529975	2	5.995130	17.648189	5.995130	5.995130	5.995130	5.995130	5.995130	
236000	0.529975	2	5.922181	19.658440	5.922181	5.922181	5.922181	5.922181	5.922181	
237000	0.529975	2	5.875855	18.908447	5.875855	5.875855	5.875855	5.875855	5.875855	
238000	0.529975	2	6.075571	18.326992	6.075571	6.075571	6.075571	6.075571	6.075571	
239000	0.529975	2	6.216558	18.025011	6.216558	6.216558	6.216558	6.216558	6.216558	
240000	0.529975	2	5.658352	18.695514	5.658352	5.658352	5.658352	5.658352	5.658352	
241000	0.529975	2	5.662165	17.864109	5.662165	5.662165	5.662165	5.662165	5.662165	
