Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	
5306000	0.085832	2	0.312129	0.313010	0.119421	0.255439	0.312129	0.313010	0.119421	0.255439	0.188196	0.304528	0.221879	0.285398	0.188196	0.304528	0.221879	0.285398	0.188196	0.304528	0.221879	0.285398	0.312129	0.313010	0.119421	0.255439	0.188196	0.304528	0.221879	0.285398	
5307000	0.085832	2	0.312129	0.313010	0.119421	0.255439	0.312129	0.313010	0.119421	0.255439	0.196851	0.263478	0.275868	0.263803	0.196851	0.263478	0.275868	0.263803	0.196851	0.263478	0.275868	0.263803	0.312129	0.313010	0.119421	0.255439	0.196851	0.263478	0.275868	0.263803	
5308000	0.085832	2	0.315067	0.295188	0.124402	0.265343	0.315067	0.295188	0.124402	0.265343	0.194461	0.264763	0.268833	0.271942	0.194461	0.264763	0.268833	0.271942	0.194461	0.264763	0.268833	0.271942	0.315067	0.295188	0.124402	0.265343	0.194461	0.264763	0.268833	0.271942	
5309000	0.085832	3	0.331209	0.296484	0.116305	0.256002	0.331209	0.296484	0.116305	0.256002	0.196563	0.268065	0.272009	0.263363	0.112560	0.254630	0.241882	0.390928	0.196563	0.268065	0.272009	0.263363	0.331209	0.296484	0.116305	0.256002	0.196563	0.268065	0.272009	0.263363	
5310000	0.085832	3	0.338573	0.285981	0.111897	0.263549	0.338573	0.285981	0.111897	0.263549	0.191890	0.251717	0.264376	0.292016	0.191890	0.251717	0.264376	0.292016	0.177147	0.183207	0.439034	0.200611	0.338573	0.285981	0.111897	0.263549	0.191890	0.251717	0.264376	0.292016	
5311000	0.085832	2	0.322564	0.283179	0.112217	0.282041	0.322564	0.283179	0.112217	0.282041	0.201149	0.253854	0.274094	0.270904	0.201149	0.253854	0.274094	0.270904	0.201149	0.253854	0.274094	0.270904	0.322564	0.283179	0.112217	0.282041	0.201149	0.253854	0.274094	0.270904	
5312000	0.085832	2	0.322564	0.283179	0.112217	0.282041	0.322564	0.283179	0.112217	0.282041	0.202170	0.269852	0.256494	0.271484	0.202170	0.269852	0.256494	0.271484	0.202170	0.269852	0.256494	0.271484	0.322564	0.283179	0.112217	0.282041	0.202170	0.269852	0.256494	0.271484	
5313000	0.085832	2	0.324056	0.286255	0.122717	0.266973	0.324056	0.286255	0.122717	0.266973	0.181782	0.251477	0.264316	0.302425	0.181782	0.251477	0.264316	0.302425	0.181782	0.251477	0.264316	0.302425	0.324056	0.286255	0.122717	0.266973	0.181782	0.251477	0.264316	0.302425	
5314000	0.085832	2	0.324056	0.286255	0.122717	0.266973	0.324056	0.286255	0.122717	0.266973	0.204150	0.248919	0.310808	0.236122	0.204150	0.248919	0.310808	0.236122	0.204150	0.248919	0.310808	0.236122	0.324056	0.286255	0.122717	0.266973	0.204150	0.248919	0.310808	0.236122	
5315000	0.085832	3	0.324056	0.286255	0.122717	0.266973	0.324056	0.286255	0.122717	0.266973	0.203892	0.229091	0.291595	0.275421	0.113519	0.319373	0.171314	0.395794	0.203892	0.229091	0.291595	0.275421	0.324056	0.286255	0.122717	0.266973	0.203892	0.229091	0.291595	0.275421	
