Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
778000	16.777027	2	0.075532	0.358533	0.076051	0.043391	0.409635	0.036858	0.075532	0.358533	0.076051	0.043391	0.409635	0.036858	0.075532	0.358533	0.076051	0.043391	0.409635	0.036858	0.101670	0.248066	0.113676	0.133625	0.353724	0.049239	0.101670	0.248066	0.113676	0.133625	0.353724	0.049239	0.075532	0.358533	0.076051	0.043391	0.409635	0.036858	0.075532	0.358533	0.076051	0.043391	0.409635	0.036858	
779000	16.777027	2	0.055600	0.377107	0.062771	0.026276	0.420597	0.057648	0.055600	0.377107	0.062771	0.026276	0.420597	0.057648	0.055600	0.377107	0.062771	0.026276	0.420597	0.057648	0.103112	0.325665	0.115687	0.134290	0.261901	0.059345	0.103112	0.325665	0.115687	0.134290	0.261901	0.059345	0.103112	0.325665	0.115687	0.134290	0.261901	0.059345	0.055600	0.377107	0.062771	0.026276	0.420597	0.057648	
780000	16.777027	2	0.074533	0.342429	0.059855	0.027521	0.436848	0.058815	0.074533	0.342429	0.059855	0.027521	0.436848	0.058815	0.074533	0.342429	0.059855	0.027521	0.436848	0.058815	0.075537	0.464575	0.099233	0.078945	0.201530	0.080180	0.075537	0.464575	0.099233	0.078945	0.201530	0.080180	0.075537	0.464575	0.099233	0.078945	0.201530	0.080180	0.074533	0.342429	0.059855	0.027521	0.436848	0.058815	
781000	16.777027	4	0.087744	0.252873	0.086797	0.011512	0.485523	0.075550	0.075034	0.389221	0.061032	0.033884	0.395619	0.045210	0.087744	0.252873	0.086797	0.011512	0.485523	0.075550	0.029231	0.115651	0.203505	0.379567	0.225755	0.046291	0.066830	0.433944	0.206456	0.077924	0.177820	0.037027	0.066830	0.433944	0.206456	0.077924	0.177820	0.037027	0.075034	0.389221	0.061032	0.033884	0.395619	0.045210	
782000	16.777027	3	0.056321	0.291480	0.106648	0.009621	0.474603	0.061327	0.056321	0.291480	0.106648	0.009621	0.474603	0.061327	0.056321	0.291480	0.106648	0.009621	0.474603	0.061327	0.125575	0.233190	0.125040	0.242767	0.144081	0.129347	0.070306	0.411126	0.054323	0.088171	0.343360	0.032714	0.070306	0.411126	0.054323	0.088171	0.343360	0.032714	0.070306	0.411126	0.054323	0.088171	0.343360	0.032714	
783000	16.777027	2	0.063090	0.388907	0.076730	0.026244	0.405503	0.039526	0.063090	0.388907	0.076730	0.026244	0.405503	0.039526	0.063090	0.388907	0.076730	0.026244	0.405503	0.039526	0.078955	0.320751	0.066032	0.120063	0.379540	0.034660	0.078955	0.320751	0.066032	0.120063	0.379540	0.034660	0.078955	0.320751	0.066032	0.120063	0.379540	0.034660	0.063090	0.388907	0.076730	0.026244	0.405503	0.039526	
784000	16.777027	2	0.060999	0.360923	0.079744	0.017014	0.433830	0.047489	0.060999	0.360923	0.079744	0.017014	0.433830	0.047489	0.060999	0.360923	0.079744	0.017014	0.433830	0.047489	0.097819	0.326676	0.078101	0.085128	0.359220	0.053055	0.097819	0.326676	0.078101	0.085128	0.359220	0.053055	0.097819	0.326676	0.078101	0.085128	0.359220	0.053055	0.097819	0.326676	0.078101	0.085128	0.359220	0.053055	
785000	16.777027	2	0.064756	0.347287	0.070303	0.018049	0.451327	0.048279	0.064756	0.347287	0.070303	0.018049	0.451327	0.048279	0.064756	0.347287	0.070303	0.018049	0.451327	0.048279	0.058327	0.181514	0.079680	0.197390	0.463580	0.019509	0.058327	0.181514	0.079680	0.197390	0.463580	0.019509	0.058327	0.181514	0.079680	0.197390	0.463580	0.019509	0.064756	0.347287	0.070303	0.018049	0.451327	0.048279	
786000	16.777027	3	0.072567	0.359055	0.072685	0.021339	0.428483	0.045872	0.072567	0.359055	0.072685	0.021339	0.428483	0.045872	0.072567	0.359055	0.072685	0.021339	0.428483	0.045872	0.001070	0.280914	0.125317	0.154978	0.245938	0.191783	0.079522	0.260910	0.045691	0.173190	0.274571	0.166116	0.079522	0.260910	0.045691	0.173190	0.274571	0.166116	0.072567	0.359055	0.072685	0.021339	0.428483	0.045872	
787000	16.777027	3	0.066519	0.369132	0.073634	0.030319	0.425859	0.034537	0.066519	0.369132	0.073634	0.030319	0.425859	0.034537	0.066519	0.369132	0.073634	0.030319	0.425859	0.034537	0.015749	0.045924	0.011478	0.521584	0.283021	0.122244	0.106093	0.330605	0.139573	0.056332	0.285623	0.081773	0.106093	0.330605	0.139573	0.056332	0.285623	0.081773	0.066519	0.369132	0.073634	0.030319	0.425859	0.034537	
