Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	R[AC,7]	R[AG,7]	R[AT,7]	R[CG,7]	R[CT,7]	R[GT,7]	
1628000	100.687501	2	0.064563	0.401341	0.067634	0.031581	0.391135	0.043745	0.064563	0.401341	0.067634	0.031581	0.391135	0.043745	0.064563	0.401341	0.067634	0.031581	0.391135	0.043745	0.051262	0.225325	0.095415	0.177465	0.256603	0.193931	0.051262	0.225325	0.095415	0.177465	0.256603	0.193931	0.064563	0.401341	0.067634	0.031581	0.391135	0.043745	0.064563	0.401341	0.067634	0.031581	0.391135	0.043745	
1629000	100.687501	3	0.062562	0.406079	0.060739	0.034165	0.396887	0.039568	0.062562	0.406079	0.060739	0.034165	0.396887	0.039568	0.062562	0.406079	0.060739	0.034165	0.396887	0.039568	0.007430	0.122409	0.152291	0.158020	0.395475	0.164375	0.184156	0.114272	0.285342	0.161348	0.177533	0.077349	0.062562	0.406079	0.060739	0.034165	0.396887	0.039568	0.062562	0.406079	0.060739	0.034165	0.396887	0.039568	
1630000	100.687501	3	0.060926	0.386326	0.057754	0.029159	0.412787	0.053047	0.060926	0.386326	0.057754	0.029159	0.412787	0.053047	0.060926	0.386326	0.057754	0.029159	0.412787	0.053047	0.092100	0.443385	0.035603	0.111736	0.194820	0.122356	0.064535	0.366704	0.069741	0.173408	0.226019	0.099594	0.092100	0.443385	0.035603	0.111736	0.194820	0.122356	0.060926	0.386326	0.057754	0.029159	0.412787	0.053047	
1631000	100.687501	2	0.046732	0.414713	0.057588	0.032955	0.396995	0.051018	0.046732	0.414713	0.057588	0.032955	0.396995	0.051018	0.046732	0.414713	0.057588	0.032955	0.396995	0.051018	0.058719	0.409472	0.104618	0.187888	0.150603	0.088699	0.058719	0.409472	0.104618	0.187888	0.150603	0.088699	0.058719	0.409472	0.104618	0.187888	0.150603	0.088699	0.046732	0.414713	0.057588	0.032955	0.396995	0.051018	
1632000	100.687501	3	0.056661	0.434074	0.062193	0.036521	0.348950	0.061601	0.056661	0.434074	0.062193	0.036521	0.348950	0.061601	0.040342	0.272388	0.208317	0.030889	0.379378	0.068687	0.070000	0.405419	0.083083	0.154130	0.238490	0.048877	0.070000	0.405419	0.083083	0.154130	0.238490	0.048877	0.070000	0.405419	0.083083	0.154130	0.238490	0.048877	0.056661	0.434074	0.062193	0.036521	0.348950	0.061601	
1633000	100.687501	3	0.058860	0.429336	0.052771	0.038316	0.370885	0.049831	0.058860	0.429336	0.052771	0.038316	0.370885	0.049831	0.058860	0.429336	0.052771	0.038316	0.370885	0.049831	0.107524	0.039606	0.039017	0.574959	0.200777	0.038117	0.072683	0.405927	0.131717	0.080288	0.283902	0.025483	0.072683	0.405927	0.131717	0.080288	0.283902	0.025483	0.058860	0.429336	0.052771	0.038316	0.370885	0.049831	
1634000	100.687501	3	0.061979	0.440359	0.063579	0.021389	0.358485	0.054209	0.061979	0.440359	0.063579	0.021389	0.358485	0.054209	0.061979	0.440359	0.063579	0.021389	0.358485	0.054209	0.041822	0.215793	0.064131	0.408137	0.232006	0.038111	0.081111	0.373019	0.052957	0.218502	0.175282	0.099130	0.081111	0.373019	0.052957	0.218502	0.175282	0.099130	0.061979	0.440359	0.063579	0.021389	0.358485	0.054209	
1635000	100.687501	3	0.059765	0.403108	0.062213	0.019580	0.405712	0.049623	0.059765	0.403108	0.062213	0.019580	0.405712	0.049623	0.059765	0.403108	0.062213	0.019580	0.405712	0.049623	0.078693	0.366442	0.093242	0.159909	0.238630	0.063083	0.196752	0.275078	0.054356	0.146260	0.230264	0.097290	0.078693	0.366442	0.093242	0.159909	0.238630	0.063083	0.059765	0.403108	0.062213	0.019580	0.405712	0.049623	
1636000	100.687501	2	0.062219	0.399677	0.057111	0.020384	0.406801	0.053808	0.062219	0.399677	0.057111	0.020384	0.406801	0.053808	0.062219	0.399677	0.057111	0.020384	0.406801	0.053808	0.099481	0.405032	0.098717	0.137974	0.197831	0.060965	0.099481	0.405032	0.098717	0.137974	0.197831	0.060965	0.099481	0.405032	0.098717	0.137974	0.197831	0.060965	0.062219	0.399677	0.057111	0.020384	0.406801	0.053808	
1637000	100.687501	2	0.075263	0.380717	0.057157	0.023090	0.405498	0.058274	0.075263	0.380717	0.057157	0.023090	0.405498	0.058274	0.075263	0.380717	0.057157	0.023090	0.405498	0.058274	0.054649	0.328788	0.133490	0.199657	0.190276	0.093140	0.054649	0.328788	0.133490	0.199657	0.190276	0.093140	0.054649	0.328788	0.133490	0.199657	0.190276	0.093140	0.075263	0.380717	0.057157	0.023090	0.405498	0.058274	
1638000	100.687501	3	0.064764	0.404193	0.056958	0.029703	0.396031	0.048351	0.064764	0.404193	0.056958	0.029703	0.396031	0.048351	0.064764	0.404193	0.056958	0.029703	0.396031	0.048351	0.093081	0.506724	0.086345	0.170449	0.098635	0.044765	0.093081	0.506724	0.086345	0.170449	0.098635	0.044765	0.095521	0.331644	0.086492	0.111158	0.171886	0.203299	0.064764	0.404193	0.056958	0.029703	0.396031	0.048351	
1639000	100.687501	2	0.065533	0.408994	0.056430	0.028903	0.391214	0.048926	0.065533	0.408994	0.056430	0.028903	0.391214	0.048926	0.065533	0.408994	0.056430	0.028903	0.391214	0.048926	0.109920	0.456676	0.090226	0.165376	0.122190	0.055611	0.109920	0.456676	0.090226	0.165376	0.122190	0.055611	0.109920	0.456676	0.090226	0.165376	0.122190	0.055611	0.065533	0.408994	0.056430	0.028903	0.391214	0.048926	
1640000	100.687501	3	0.065913	0.406307	0.052701	0.038211	0.381283	0.055585	0.065913	0.406307	0.052701	0.038211	0.381283	0.055585	0.065913	0.406307	0.052701	0.038211	0.381283	0.055585	0.122953	0.267628	0.082907	0.221815	0.229495	0.075202	0.122953	0.267628	0.082907	0.221815	0.229495	0.075202	0.057230	0.465389	0.095477	0.094657	0.259813	0.027434	0.065913	0.406307	0.052701	0.038211	0.381283	0.055585	
1641000	100.687501	2	0.059777	0.418130	0.052051	0.027283	0.395814	0.046946	0.059777	0.418130	0.052051	0.027283	0.395814	0.046946	0.059777	0.418130	0.052051	0.027283	0.395814	0.046946	0.043052	0.459617	0.133931	0.140476	0.174568	0.048357	0.043052	0.459617	0.133931	0.140476	0.174568	0.048357	0.043052	0.459617	0.133931	0.140476	0.174568	0.048357	0.059777	0.418130	0.052051	0.027283	0.395814	0.046946	
1642000	100.687501	2	0.063829	0.398870	0.059502	0.037119	0.383340	0.057340	0.063829	0.398870	0.059502	0.037119	0.383340	0.057340	0.063829	0.398870	0.059502	0.037119	0.383340	0.057340	0.010745	0.117621	0.009087	0.604535	0.234268	0.023744	0.063829	0.398870	0.059502	0.037119	0.383340	0.057340	0.063829	0.398870	0.059502	0.037119	0.383340	0.057340	0.063829	0.398870	0.059502	0.037119	0.383340	0.057340	
1643000	100.687501	2	0.057866	0.440850	0.058859	0.031509	0.359701	0.051215	0.057866	0.440850	0.058859	0.031509	0.359701	0.051215	0.057866	0.440850	0.058859	0.031509	0.359701	0.051215	0.117159	0.354790	0.096426	0.119043	0.249854	0.062729	0.117159	0.354790	0.096426	0.119043	0.249854	0.062729	0.117159	0.354790	0.096426	0.119043	0.249854	0.062729	0.057866	0.440850	0.058859	0.031509	0.359701	0.051215	
