Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	TL[10]	TL[11]	
2217000	48.111915	5	13.212146	5.216211	30.863959	5.216211	5.216211	5.216211	30.863959	5.216211	11.889257	10.048665	5.216211	
2218000	48.111915	6	12.294124	5.940382	28.206646	5.940382	5.940382	5.940382	28.206646	5.940382	11.067442	9.359044	12.951129	
2219000	48.111915	5	27.642281	5.546060	27.642281	5.546060	5.546060	5.546060	27.642281	5.546060	10.786378	11.995110	12.408695	
2220000	48.111915	5	12.532516	5.280016	25.734777	5.280016	5.280016	5.280016	25.734777	5.280016	13.186248	10.271395	5.280016	
2221000	48.111915	5	11.842080	5.420358	32.194761	5.420358	5.420358	5.420358	32.194761	5.420358	12.209829	10.422348	5.420358	
2222000	48.111915	4	27.529306	5.564224	27.529306	5.564224	9.531641	5.564224	27.529306	5.564224	12.695849	9.531641	5.564224	
2223000	48.111915	5	14.229318	5.347923	28.028235	5.347923	10.469415	5.347923	28.028235	5.347923	11.418601	10.469415	5.347923	
2224000	48.111915	6	12.095025	5.168334	27.455046	5.168334	11.148635	5.168334	27.455046	5.168334	12.557575	11.137808	5.168334	
2225000	48.111915	7	12.311256	4.588858	26.534276	4.588858	10.151152	4.588858	26.534276	4.588858	12.445228	11.361091	10.125708	
2226000	48.111915	6	26.724759	5.446181	26.724759	5.446181	11.088823	5.446181	26.724759	5.446181	14.119996	9.824812	11.600715	
2227000	48.111915	6	15.500873	5.582184	26.573005	5.582184	5.582184	5.582184	26.573005	10.224518	12.772511	11.750580	5.582184	
2228000	48.111915	5	17.272783	4.716398	17.272783	4.716398	9.534434	4.716398	17.272783	4.716398	12.010563	9.534434	10.905885	
2229000	48.111915	4	20.412628	5.653409	20.412628	5.653409	10.221763	5.653409	20.412628	5.653409	12.614156	10.221763	5.653409	
2230000	48.111915	5	27.914963	5.345256	27.914963	5.345256	9.766621	5.345256	27.914963	5.345256	12.069860	11.269871	27.914963	
2231000	48.111915	7	13.517143	4.581985	26.965760	4.581985	10.553791	4.581985	26.965760	4.581985	12.636275	10.900167	12.004151	
2232000	48.111915	7	12.755220	4.898428	28.207014	4.898428	10.585785	4.898428	28.207014	4.898428	9.470779	10.927761	13.047576	
2233000	48.111915	7	12.150115	5.088654	27.334766	5.088654	11.414937	5.088654	27.334766	5.088654	10.731471	11.617384	12.380790	
2234000	48.111915	5	27.618392	5.328293	27.618392	5.328293	10.317990	5.328293	27.618392	5.328293	12.587901	9.862429	5.328293	
2235000	48.111915	4	14.390596	5.156495	14.390596	5.156495	11.036148	5.156495	14.390596	5.156495	14.390596	9.922550	5.156495	
2236000	48.111915	7	14.098330	5.987749	24.534986	5.987749	8.974695	5.987749	24.534986	5.987749	12.300421	10.908516	13.383449	
2237000	48.111915	5	12.888419	6.205539	27.092590	6.205539	11.092543	6.205539	27.092590	6.205539	12.888419	10.446794	27.092590	
2238000	48.111915	7	13.755508	5.602875	26.807278	5.602875	11.215465	5.602875	26.807278	5.602875	11.239623	11.139230	12.047559	
2239000	48.111915	6	14.128356	5.845446	28.391570	5.845446	5.845446	5.845446	28.391570	5.845446	9.842330	11.284855	10.836043	
2240000	48.111915	7	12.429034	5.300744	28.353088	5.300744	9.781063	5.300744	28.353088	5.300744	13.234923	10.647629	11.363340	
2241000	48.111915	6	13.596129	5.789157	28.504631	5.789157	9.784855	5.789157	28.504631	5.789157	12.493322	9.784855	11.912164	
2242000	48.111915	6	17.022180	6.369930	17.022180	6.369930	9.890045	6.369930	17.022180	6.369930	11.633451	10.460598	11.156385	
2243000	48.111915	4	21.584838	5.823151	21.584838	5.823151	10.517075	5.823151	21.584838	5.823151	13.049886	10.517075	5.823151	
2244000	48.111915	6	18.751391	5.668008	18.751391	5.668008	11.213166	5.668008	18.751391	5.668008	12.766537	11.229038	10.557771	
2245000	48.111915	5	23.930936	5.988710	23.930936	5.988710	10.245285	5.988710	23.930936	5.988710	15.158563	10.297035	5.988710	
2246000	48.111915	4	24.931398	5.453110	24.931398	5.453110	10.304173	5.453110	24.931398	5.453110	12.660329	10.304173	5.453110	
2247000	48.111915	4	27.881237	5.263914	27.881237	5.263914	10.785504	5.263914	27.881237	5.263914	11.211301	11.211301	27.881237	
2248000	48.111915	7	12.240361	4.901837	27.577334	4.901837	9.629783	4.901837	27.577334	4.901837	11.363811	9.450187	10.209470	
2249000	48.111915	6	13.710934	4.944267	29.564545	4.944267	10.922620	4.944267	29.564545	4.944267	10.938637	10.938637	11.544954	
2250000	48.111915	7	13.647081	5.090572	31.174203	5.090572	9.875124	5.090572	31.174203	5.090572	12.528305	11.335717	11.709727	
2251000	48.111915	4	17.365223	5.947704	17.365223	5.947704	5.947704	5.947704	17.365223	5.947704	11.797650	10.943144	5.947704	
2252000	48.111915	6	22.273106	5.771658	22.273106	5.771658	9.771695	5.771658	22.273106	5.771658	12.316817	10.918811	9.507494	
2253000	48.111915	7	14.784888	5.475386	25.446470	5.475386	11.478749	5.475386	25.446470	5.475386	11.224623	11.505871	11.032059	
2254000	48.111915	7	13.341264	5.672737	24.758005	5.672737	10.220342	5.672737	24.758005	5.672737	13.356697	12.147710	13.319836	
2255000	48.111915	6	12.585580	5.745313	26.308700	5.745313	8.983901	5.745313	26.308700	5.745313	12.741738	10.938992	12.585580	
2256000	48.111915	7	11.434469	5.415492	15.228187	5.415492	9.706055	5.415492	15.228187	5.415492	12.683337	11.089576	10.600108	
2257000	48.111915	7	12.788718	5.853554	18.488868	5.853554	11.194264	5.853554	18.488868	5.853554	13.774750	10.834573	10.062112	
