Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	Pi[A,10]	Pi[C,10]	Pi[G,10]	Pi[T,10]	Pi[A,11]	Pi[C,11]	Pi[G,11]	Pi[T,11]	
5346000	4.627436	3	0.455856	0.287753	0.078540	0.177850	0.265894	0.309358	0.163609	0.261139	0.455856	0.287753	0.078540	0.177850	0.265894	0.309358	0.163609	0.261139	0.265894	0.309358	0.163609	0.261139	0.265894	0.309358	0.163609	0.261139	0.455856	0.287753	0.078540	0.177850	0.265894	0.309358	0.163609	0.261139	0.455856	0.287753	0.078540	0.177850	0.265894	0.309358	0.163609	0.261139	0.463794	0.143626	0.192022	0.200558	
5347000	4.627436	2	0.447952	0.302652	0.082274	0.167122	0.286268	0.289076	0.186715	0.237941	0.447952	0.302652	0.082274	0.167122	0.286268	0.289076	0.186715	0.237941	0.286268	0.289076	0.186715	0.237941	0.286268	0.289076	0.186715	0.237941	0.447952	0.302652	0.082274	0.167122	0.286268	0.289076	0.186715	0.237941	0.447952	0.302652	0.082274	0.167122	0.286268	0.289076	0.186715	0.237941	0.286268	0.289076	0.186715	0.237941	
5348000	4.627436	3	0.451248	0.300426	0.079086	0.169240	0.301581	0.297136	0.170500	0.230782	0.451248	0.300426	0.079086	0.169240	0.279516	0.290222	0.160823	0.269439	0.301581	0.297136	0.170500	0.230782	0.279516	0.290222	0.160823	0.269439	0.451248	0.300426	0.079086	0.169240	0.279516	0.290222	0.160823	0.269439	0.451248	0.300426	0.079086	0.169240	0.279516	0.290222	0.160823	0.269439	0.451248	0.300426	0.079086	0.169240	
5349000	4.627436	2	0.440657	0.262278	0.106740	0.190324	0.316134	0.262728	0.183432	0.237707	0.440657	0.262278	0.106740	0.190324	0.316134	0.262728	0.183432	0.237707	0.316134	0.262728	0.183432	0.237707	0.316134	0.262728	0.183432	0.237707	0.440657	0.262278	0.106740	0.190324	0.316134	0.262728	0.183432	0.237707	0.440657	0.262278	0.106740	0.190324	0.316134	0.262728	0.183432	0.237707	0.316134	0.262728	0.183432	0.237707	
5350000	4.627436	3	0.468782	0.298998	0.074092	0.158129	0.292695	0.259511	0.201625	0.246169	0.468782	0.298998	0.074092	0.158129	0.292695	0.259511	0.201625	0.246169	0.292695	0.259511	0.201625	0.246169	0.323311	0.271375	0.131697	0.273617	0.468782	0.298998	0.074092	0.158129	0.323311	0.271375	0.131697	0.273617	0.468782	0.298998	0.074092	0.158129	0.323311	0.271375	0.131697	0.273617	0.323311	0.271375	0.131697	0.273617	
5351000	4.627436	2	0.427594	0.291857	0.095610	0.184938	0.260963	0.301761	0.171548	0.265728	0.427594	0.291857	0.095610	0.184938	0.260963	0.301761	0.171548	0.265728	0.260963	0.301761	0.171548	0.265728	0.260963	0.301761	0.171548	0.265728	0.427594	0.291857	0.095610	0.184938	0.260963	0.301761	0.171548	0.265728	0.427594	0.291857	0.095610	0.184938	0.427594	0.291857	0.095610	0.184938	0.260963	0.301761	0.171548	0.265728	
5352000	4.627436	3	0.457442	0.283703	0.080211	0.178644	0.264721	0.290541	0.183217	0.261521	0.457442	0.283703	0.080211	0.178644	0.341107	0.253319	0.160061	0.245513	0.264721	0.290541	0.183217	0.261521	0.264721	0.290541	0.183217	0.261521	0.457442	0.283703	0.080211	0.178644	0.341107	0.253319	0.160061	0.245513	0.457442	0.283703	0.080211	0.178644	0.341107	0.253319	0.160061	0.245513	0.341107	0.253319	0.160061	0.245513	
5353000	4.627436	3	0.457442	0.283703	0.080211	0.178644	0.255718	0.301139	0.179083	0.264060	0.457442	0.283703	0.080211	0.178644	0.322148	0.252012	0.148535	0.277304	0.255718	0.301139	0.179083	0.264060	0.255718	0.301139	0.179083	0.264060	0.457442	0.283703	0.080211	0.178644	0.322148	0.252012	0.148535	0.277304	0.457442	0.283703	0.080211	0.178644	0.322148	0.252012	0.148535	0.277304	0.322148	0.252012	0.148535	0.277304	
5354000	4.627436	3	0.414113	0.267183	0.085625	0.233079	0.274656	0.324986	0.175977	0.224381	0.414113	0.267183	0.085625	0.233079	0.329335	0.252239	0.172302	0.246124	0.274656	0.324986	0.175977	0.224381	0.274656	0.324986	0.175977	0.224381	0.414113	0.267183	0.085625	0.233079	0.414113	0.267183	0.085625	0.233079	0.414113	0.267183	0.085625	0.233079	0.414113	0.267183	0.085625	0.233079	0.274656	0.324986	0.175977	0.224381	
5355000	4.627436	3	0.461502	0.265120	0.097073	0.176305	0.239889	0.310033	0.133350	0.316728	0.461502	0.265120	0.097073	0.176305	0.239889	0.310033	0.133350	0.316728	0.323237	0.299538	0.137669	0.239556	0.239889	0.310033	0.133350	0.316728	0.461502	0.265120	0.097073	0.176305	0.323237	0.299538	0.137669	0.239556	0.323237	0.299538	0.137669	0.239556	0.239889	0.310033	0.133350	0.316728	0.461502	0.265120	0.097073	0.176305	
