Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	Alpha[10]	Alpha[11]	
5811000	268.021876	8	0.315264	0.217928	0.407472	0.315264	0.349653	0.217928	1.721777	0.559252	0.217928	0.355766	0.307748	
5812000	268.021876	8	0.281329	0.255696	0.424189	0.281329	0.281329	0.217637	0.799816	0.322210	0.255696	0.500141	0.163407	
5813000	268.021876	8	0.339363	0.276827	0.362635	0.276827	0.339363	0.282799	0.731436	0.320420	0.276827	0.356143	0.701579	
5814000	268.021876	8	0.296293	0.231297	0.434561	0.296293	0.296293	0.162636	0.948773	0.438183	0.253029	0.438183	0.352557	
5815000	268.021876	6	0.301908	0.194138	0.491289	0.301908	0.323689	0.194138	0.704953	0.301908	0.264631	0.491289	0.264631	
5816000	268.021876	7	0.296035	0.169302	0.436800	0.296035	0.296035	0.169302	0.499186	0.296035	0.286618	0.506453	0.361454	
5817000	268.021876	8	0.331650	0.209469	0.382640	0.290780	0.323998	0.209469	1.330771	0.382640	0.221053	0.382640	0.180080	
5818000	268.021876	10	0.290279	0.251626	0.424951	0.281313	0.281313	0.134458	0.447277	0.599826	0.224671	0.486926	0.264486	
5819000	268.021876	7	0.309545	0.236997	0.504061	0.278427	0.298004	0.236997	0.504061	0.298004	0.298004	0.374117	0.148049	
5820000	268.021876	6	0.289196	0.204798	0.419063	0.263160	0.289196	0.226421	0.419063	0.419063	0.263160	0.419063	0.094234	
5821000	268.021876	9	0.280184	0.265613	0.374859	0.265613	0.263712	0.188610	0.964395	0.373575	0.263359	0.373575	0.104192	
5822000	268.021876	9	0.286460	0.200408	0.422148	0.223258	0.265037	0.198998	0.641631	0.326063	0.286460	0.422148	0.221949	
5823000	268.021876	8	0.319603	0.252429	0.392125	0.252429	0.252429	0.183042	0.637780	0.319603	0.253914	0.325613	0.183973	
5824000	268.021876	7	0.283030	0.270958	0.387897	0.271915	0.293999	0.270958	0.387897	0.387897	0.293999	0.464396	0.350546	
5825000	268.021876	5	0.312155	0.204104	0.369776	0.312155	0.312155	0.177254	0.369776	0.452437	0.312155	0.369776	0.177254	
5826000	268.021876	7	0.293603	0.214653	0.412858	0.293603	0.288232	0.214653	0.683058	0.393491	0.293603	0.293603	0.440723	
5827000	268.021876	8	0.293850	0.223963	0.408628	0.293850	0.293850	0.223963	1.291865	0.476100	0.292600	0.440226	0.427744	
5828000	268.021876	7	0.305737	0.188887	0.475090	0.300097	0.300097	0.188887	1.183283	0.475090	0.237186	0.475090	0.133061	
5829000	268.021876	8	0.248919	0.251836	0.364782	0.263420	0.334542	0.172093	1.542099	0.364782	0.263420	0.364782	0.540673	
5830000	268.021876	9	0.320184	0.175588	0.501636	0.285005	0.308585	0.206865	0.876685	0.564115	0.285005	0.285005	0.192029	
5831000	268.021876	9	0.345272	0.243332	0.520942	0.344702	0.333250	0.191192	0.872685	0.577629	0.243332	0.345272	0.119675	
5832000	268.021876	7	0.271352	0.198971	0.478923	0.278345	0.278345	0.198971	0.820097	0.478923	0.278345	0.505393	0.135040	
5833000	268.021876	8	0.298381	0.239978	0.398197	0.298381	0.318507	0.239978	0.725364	0.395982	0.296976	0.395982	0.122616	
5834000	268.021876	10	0.353484	0.232288	0.373464	0.289197	0.401482	0.188261	1.043505	0.368197	0.256485	0.401482	0.369786	
5835000	268.021876	6	0.332049	0.212983	0.360987	0.212983	0.212983	0.212983	0.731603	0.332049	0.280762	0.360987	0.158662	
5836000	268.021876	9	0.315698	0.221241	0.379932	0.297014	0.297014	0.221241	0.582911	0.375402	0.243901	0.423418	0.506846	
5837000	268.021876	9	0.288816	0.288816	0.393018	0.288816	0.411052	0.137682	1.204834	0.362824	0.269447	0.376036	0.114492	
5838000	268.021876	7	0.329190	0.184364	0.363897	0.329190	0.278466	0.184364	1.390429	0.363897	0.329190	0.426803	0.148683	
5839000	268.021876	10	0.284234	0.153271	0.430067	0.284234	0.293370	0.211739	0.472395	0.328930	0.325564	0.322974	0.143245	
5840000	268.021876	7	0.315311	0.191826	0.369715	0.265474	0.315311	0.191826	1.498822	0.280920	0.280920	0.315311	0.116391	
5841000	268.021876	8	0.298536	0.203818	0.404601	0.266905	0.266905	0.203818	0.562749	0.337137	0.298536	0.568309	0.131648	
5842000	268.021876	8	0.297533	0.219949	0.567249	0.238577	0.297533	0.197707	0.567249	0.275738	0.218776	0.567249	0.094500	
5843000	268.021876	6	0.282417	0.173926	0.486167	0.305710	0.305710	0.173926	1.390060	0.305710	0.305710	0.486167	0.126616	
5844000	268.021876	9	0.269226	0.201103	0.341726	0.288529	0.269226	0.209919	0.526427	0.288529	0.315803	0.312965	0.160148	
5845000	268.021876	7	0.310068	0.247805	0.458275	0.310068	0.308497	0.247805	1.607591	0.633506	0.247805	0.329375	0.247805	
5846000	268.021876	9	0.305040	0.208448	0.387128	0.305040	0.377416	0.208448	1.599261	0.388612	0.199807	0.486980	0.152671	
5847000	268.021876	8	0.297283	0.234792	0.360422	0.234792	0.360422	0.200674	0.445845	0.564666	0.224157	0.445845	0.156459	
5848000	268.021876	7	0.268232	0.223457	0.429366	0.268232	0.375341	0.223457	0.769192	0.360824	0.331434	0.375341	0.268232	
5849000	268.021876	7	0.290635	0.180467	0.319496	0.290635	0.319496	0.180467	0.724069	0.319496	0.206902	0.455842	0.269969	
5850000	268.021876	7	0.292477	0.231483	0.393769	0.268729	0.292477	0.164349	0.442777	0.442777	0.359215	0.442777	0.164349	
5851000	268.021876	6	0.322473	0.210869	0.329957	0.322473	0.322473	0.210869	0.822802	0.322473	0.322473	0.575166	0.157022	
5852000	268.021876	8	0.355758	0.258648	0.484078	0.296069	0.381998	0.258648	1.040760	0.355758	0.296069	0.491322	0.294822	
5853000	268.021876	7	0.366027	0.225111	0.366027	0.292100	0.271156	0.150380	1.306899	0.366027	0.292100	0.366027	0.120948	
5854000	268.021876	7	0.312217	0.160908	0.389126	0.277265	0.277265	0.160908	0.389126	0.455202	0.277265	0.443516	0.158105	
5855000	268.021876	7	0.298023	0.188763	0.396258	0.298023	0.298023	0.188763	0.654819	0.313580	0.263177	0.289040	0.188763	
5856000	268.021876	6	0.278121	0.234034	0.399214	0.278121	0.278121	0.193886	0.399214	0.395345	0.278121	0.399214	0.274950	
5857000	268.021876	8	0.267228	0.211641	0.354777	0.252687	0.267228	0.211641	0.688214	0.471653	0.319421	0.354777	0.400561	
5858000	268.021876	5	0.308788	0.231983	0.413053	0.308788	0.323143	0.231983	0.418176	0.418176	0.323143	0.413053	0.231983	
5859000	268.021876	8	0.283427	0.279676	0.414038	0.283427	0.301515	0.138190	0.465107	0.299473	0.279676	0.362015	0.138190	
5860000	268.021876	5	0.298474	0.173370	0.428612	0.298474	0.298474	0.173370	0.428612	0.556379	0.298474	0.439071	0.173370	
