Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	
1128000	27.685548	1	0.116560	0.212031	0.034525	0.220246	0.281180	0.135459	0.116560	0.212031	0.034525	0.220246	0.281180	0.135459	0.116560	0.212031	0.034525	0.220246	0.281180	0.135459	0.116560	0.212031	0.034525	0.220246	0.281180	0.135459	
1129000	27.685548	1	0.112383	0.235598	0.034826	0.201846	0.254679	0.160669	0.112383	0.235598	0.034826	0.201846	0.254679	0.160669	0.112383	0.235598	0.034826	0.201846	0.254679	0.160669	0.112383	0.235598	0.034826	0.201846	0.254679	0.160669	
1130000	27.685548	1	0.110286	0.260451	0.043303	0.188909	0.279727	0.117322	0.110286	0.260451	0.043303	0.188909	0.279727	0.117322	0.110286	0.260451	0.043303	0.188909	0.279727	0.117322	0.110286	0.260451	0.043303	0.188909	0.279727	0.117322	
1131000	27.685548	2	0.137543	0.216260	0.023303	0.227852	0.257463	0.137579	0.275890	0.291392	0.032661	0.076165	0.252055	0.071837	0.137543	0.216260	0.023303	0.227852	0.257463	0.137579	0.275890	0.291392	0.032661	0.076165	0.252055	0.071837	
1132000	27.685548	1	0.141364	0.233512	0.043594	0.155776	0.291622	0.134132	0.141364	0.233512	0.043594	0.155776	0.291622	0.134132	0.141364	0.233512	0.043594	0.155776	0.291622	0.134132	0.141364	0.233512	0.043594	0.155776	0.291622	0.134132	
1133000	27.685548	1	0.118433	0.228601	0.030602	0.205436	0.259243	0.157686	0.118433	0.228601	0.030602	0.205436	0.259243	0.157686	0.118433	0.228601	0.030602	0.205436	0.259243	0.157686	0.118433	0.228601	0.030602	0.205436	0.259243	0.157686	
1134000	27.685548	1	0.123204	0.241101	0.030905	0.188940	0.268839	0.147011	0.123204	0.241101	0.030905	0.188940	0.268839	0.147011	0.123204	0.241101	0.030905	0.188940	0.268839	0.147011	0.123204	0.241101	0.030905	0.188940	0.268839	0.147011	
1135000	27.685548	1	0.116534	0.300807	0.034339	0.175005	0.243394	0.129921	0.116534	0.300807	0.034339	0.175005	0.243394	0.129921	0.116534	0.300807	0.034339	0.175005	0.243394	0.129921	0.116534	0.300807	0.034339	0.175005	0.243394	0.129921	
1136000	27.685548	1	0.141261	0.231979	0.042550	0.186746	0.253773	0.143691	0.141261	0.231979	0.042550	0.186746	0.253773	0.143691	0.141261	0.231979	0.042550	0.186746	0.253773	0.143691	0.141261	0.231979	0.042550	0.186746	0.253773	0.143691	
1137000	27.685548	1	0.120421	0.253982	0.038278	0.163313	0.295722	0.128283	0.120421	0.253982	0.038278	0.163313	0.295722	0.128283	0.120421	0.253982	0.038278	0.163313	0.295722	0.128283	0.120421	0.253982	0.038278	0.163313	0.295722	0.128283	
1138000	27.685548	2	0.113199	0.228727	0.029109	0.235100	0.283511	0.110354	0.113199	0.228727	0.029109	0.235100	0.283511	0.110354	0.209373	0.476292	0.011959	0.118837	0.132565	0.050974	0.209373	0.476292	0.011959	0.118837	0.132565	0.050974	
1139000	27.685548	1	0.104019	0.254097	0.036454	0.216000	0.243786	0.145644	0.104019	0.254097	0.036454	0.216000	0.243786	0.145644	0.104019	0.254097	0.036454	0.216000	0.243786	0.145644	0.104019	0.254097	0.036454	0.216000	0.243786	0.145644	
1140000	27.685548	1	0.109029	0.289263	0.026657	0.198907	0.239135	0.137010	0.109029	0.289263	0.026657	0.198907	0.239135	0.137010	0.109029	0.289263	0.026657	0.198907	0.239135	0.137010	0.109029	0.289263	0.026657	0.198907	0.239135	0.137010	
1141000	27.685548	1	0.115818	0.246348	0.029561	0.205821	0.245267	0.157186	0.115818	0.246348	0.029561	0.205821	0.245267	0.157186	0.115818	0.246348	0.029561	0.205821	0.245267	0.157186	0.115818	0.246348	0.029561	0.205821	0.245267	0.157186	
1142000	27.685548	1	0.140297	0.228952	0.044244	0.131010	0.289071	0.166425	0.140297	0.228952	0.044244	0.131010	0.289071	0.166425	0.140297	0.228952	0.044244	0.131010	0.289071	0.166425	0.140297	0.228952	0.044244	0.131010	0.289071	0.166425	
1143000	27.685548	2	0.104512	0.273138	0.033829	0.162105	0.267478	0.158938	0.148558	0.201905	0.089153	0.094701	0.275557	0.190128	0.104512	0.273138	0.033829	0.162105	0.267478	0.158938	0.104512	0.273138	0.033829	0.162105	0.267478	0.158938	
1144000	27.685548	1	0.144719	0.242846	0.048309	0.173763	0.264487	0.125875	0.144719	0.242846	0.048309	0.173763	0.264487	0.125875	0.144719	0.242846	0.048309	0.173763	0.264487	0.125875	0.144719	0.242846	0.048309	0.173763	0.264487	0.125875	
