Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1868000	0.092720	3	0.111385	0.396360	0.388175	0.104080	0.251796	0.252033	0.258066	0.238105	0.399648	0.100404	0.103148	0.396800	0.111385	0.396360	0.388175	0.104080	0.251796	0.252033	0.258066	0.238105	0.399648	0.100404	0.103148	0.396800	
1869000	0.092720	3	0.101786	0.398661	0.395563	0.103990	0.245544	0.244779	0.255596	0.254081	0.399648	0.100404	0.103148	0.396800	0.101786	0.398661	0.395563	0.103990	0.245544	0.244779	0.255596	0.254081	0.399648	0.100404	0.103148	0.396800	
1870000	0.092720	3	0.112470	0.385865	0.403807	0.097858	0.241134	0.270165	0.246110	0.242591	0.399648	0.100404	0.103148	0.396800	0.112470	0.385865	0.403807	0.097858	0.241134	0.270165	0.246110	0.242591	0.399648	0.100404	0.103148	0.396800	
1871000	0.092720	3	0.100495	0.392602	0.407229	0.099674	0.245618	0.242487	0.259179	0.252717	0.399648	0.100404	0.103148	0.396800	0.100495	0.392602	0.407229	0.099674	0.245618	0.242487	0.259179	0.252717	0.399648	0.100404	0.103148	0.396800	
1872000	0.092720	3	0.105433	0.398168	0.396715	0.099683	0.247027	0.269767	0.240762	0.242444	0.404033	0.098043	0.100520	0.397404	0.105433	0.398168	0.396715	0.099683	0.247027	0.269767	0.240762	0.242444	0.404033	0.098043	0.100520	0.397404	
1873000	0.092720	3	0.104699	0.401840	0.391710	0.101750	0.253316	0.255184	0.247493	0.244008	0.404033	0.098043	0.100520	0.397404	0.104699	0.401840	0.391710	0.101750	0.253316	0.255184	0.247493	0.244008	0.404033	0.098043	0.100520	0.397404	
1874000	0.092720	3	0.104699	0.401840	0.391710	0.101750	0.261208	0.256951	0.245002	0.236839	0.404033	0.098043	0.100520	0.397404	0.104699	0.401840	0.391710	0.101750	0.261208	0.256951	0.245002	0.236839	0.404033	0.098043	0.100520	0.397404	
1875000	0.092720	3	0.106049	0.383663	0.409266	0.101021	0.239410	0.256204	0.249366	0.255020	0.400332	0.096115	0.101424	0.402129	0.106049	0.383663	0.409266	0.101021	0.239410	0.256204	0.249366	0.255020	0.400332	0.096115	0.101424	0.402129	
1876000	0.092720	3	0.099870	0.390557	0.403969	0.105604	0.249363	0.249317	0.250967	0.250353	0.393069	0.099930	0.104732	0.402269	0.099870	0.390557	0.403969	0.105604	0.249363	0.249317	0.250967	0.250353	0.393069	0.099930	0.104732	0.402269	
1877000	0.092720	3	0.098146	0.399728	0.402900	0.099226	0.252634	0.255446	0.244252	0.247668	0.393069	0.099930	0.104732	0.402269	0.098146	0.399728	0.402900	0.099226	0.252634	0.255446	0.244252	0.247668	0.393069	0.099930	0.104732	0.402269	
1878000	0.092720	3	0.104298	0.395187	0.402008	0.098507	0.238692	0.267194	0.249093	0.245021	0.406177	0.099553	0.100527	0.393743	0.104298	0.395187	0.402008	0.098507	0.238692	0.267194	0.249093	0.245021	0.406177	0.099553	0.100527	0.393743	
1879000	0.092720	3	0.104298	0.395187	0.402008	0.098507	0.237643	0.267696	0.250672	0.243989	0.406177	0.099553	0.100527	0.393743	0.104298	0.395187	0.402008	0.098507	0.237643	0.267696	0.250672	0.243989	0.406177	0.099553	0.100527	0.393743	
1880000	0.092720	3	0.102120	0.403510	0.393195	0.101175	0.256853	0.238123	0.246591	0.258433	0.406177	0.099553	0.100527	0.393743	0.102120	0.403510	0.393195	0.101175	0.256853	0.238123	0.246591	0.258433	0.406177	0.099553	0.100527	0.393743	
1881000	0.092720	3	0.101713	0.385683	0.411265	0.101339	0.257085	0.261390	0.233611	0.247913	0.398271	0.103430	0.104139	0.394160	0.101713	0.385683	0.411265	0.101339	0.257085	0.261390	0.233611	0.247913	0.398271	0.103430	0.104139	0.394160	
1882000	0.092720	3	0.101270	0.402204	0.394324	0.102202	0.242812	0.253834	0.253191	0.250163	0.401055	0.099942	0.098575	0.400428	0.101270	0.402204	0.394324	0.102202	0.242812	0.253834	0.253191	0.250163	0.401055	0.099942	0.098575	0.400428	
1883000	0.092720	3	0.101270	0.402204	0.394324	0.102202	0.240322	0.257348	0.255969	0.246361	0.401055	0.099942	0.098575	0.400428	0.101270	0.402204	0.394324	0.102202	0.240322	0.257348	0.255969	0.246361	0.401055	0.099942	0.098575	0.400428	
1884000	0.092720	3	0.096965	0.391608	0.406697	0.104730	0.237905	0.262099	0.242253	0.257744	0.401055	0.099942	0.098575	0.400428	0.096965	0.391608	0.406697	0.104730	0.237905	0.262099	0.242253	0.257744	0.401055	0.099942	0.098575	0.400428	
1885000	0.092720	3	0.102585	0.386118	0.406224	0.105074	0.250906	0.266860	0.233887	0.248347	0.393716	0.098826	0.103794	0.403664	0.102585	0.386118	0.406224	0.105074	0.250906	0.266860	0.233887	0.248347	0.393716	0.098826	0.103794	0.403664	
