Generation	ConcentrationParm	Degree	R[AC,1]	R[AG,1]	R[AT,1]	R[CG,1]	R[CT,1]	R[GT,1]	R[AC,2]	R[AG,2]	R[AT,2]	R[CG,2]	R[CT,2]	R[GT,2]	R[AC,3]	R[AG,3]	R[AT,3]	R[CG,3]	R[CT,3]	R[GT,3]	R[AC,4]	R[AG,4]	R[AT,4]	R[CG,4]	R[CT,4]	R[GT,4]	R[AC,5]	R[AG,5]	R[AT,5]	R[CG,5]	R[CT,5]	R[GT,5]	R[AC,6]	R[AG,6]	R[AT,6]	R[CG,6]	R[CT,6]	R[GT,6]	
36000	1.695768	2	0.125770	0.247392	0.130733	0.124505	0.236240	0.135360	0.125770	0.247392	0.130733	0.124505	0.236240	0.135360	0.125770	0.247392	0.130733	0.124505	0.236240	0.135360	0.252695	0.125802	0.142336	0.118239	0.114705	0.246223	0.252695	0.125802	0.142336	0.118239	0.114705	0.246223	0.252695	0.125802	0.142336	0.118239	0.114705	0.246223	
37000	1.695768	2	0.120943	0.243312	0.123818	0.141970	0.241186	0.128771	0.120943	0.243312	0.123818	0.141970	0.241186	0.128771	0.120943	0.243312	0.123818	0.141970	0.241186	0.128771	0.261468	0.122642	0.124607	0.126104	0.123298	0.241881	0.261468	0.122642	0.124607	0.126104	0.123298	0.241881	0.261468	0.122642	0.124607	0.126104	0.123298	0.241881	
38000	1.695768	2	0.136687	0.232841	0.125811	0.141641	0.237685	0.125336	0.136687	0.232841	0.125811	0.141641	0.237685	0.125336	0.136687	0.232841	0.125811	0.141641	0.237685	0.125336	0.269280	0.131920	0.139199	0.110802	0.116114	0.232684	0.269280	0.131920	0.139199	0.110802	0.116114	0.232684	0.269280	0.131920	0.139199	0.110802	0.116114	0.232684	
39000	1.695768	2	0.124150	0.249024	0.133869	0.140916	0.236552	0.115490	0.124150	0.249024	0.133869	0.140916	0.236552	0.115490	0.124150	0.249024	0.133869	0.140916	0.236552	0.115490	0.255457	0.137460	0.126074	0.114580	0.117522	0.248907	0.255457	0.137460	0.126074	0.114580	0.117522	0.248907	0.255457	0.137460	0.126074	0.114580	0.117522	0.248907	
40000	1.695768	2	0.135075	0.255892	0.127312	0.136107	0.242101	0.103513	0.135075	0.255892	0.127312	0.136107	0.242101	0.103513	0.135075	0.255892	0.127312	0.136107	0.242101	0.103513	0.252681	0.130125	0.129547	0.120147	0.118608	0.248893	0.252681	0.130125	0.129547	0.120147	0.118608	0.248893	0.252681	0.130125	0.129547	0.120147	0.118608	0.248893	
41000	1.695768	2	0.130856	0.235377	0.119343	0.134925	0.236512	0.142987	0.130856	0.235377	0.119343	0.134925	0.236512	0.142987	0.130856	0.235377	0.119343	0.134925	0.236512	0.142987	0.255103	0.127410	0.137432	0.115184	0.121407	0.243463	0.255103	0.127410	0.137432	0.115184	0.121407	0.243463	0.255103	0.127410	0.137432	0.115184	0.121407	0.243463	
42000	1.695768	2	0.126748	0.242869	0.119445	0.137460	0.242183	0.131295	0.126748	0.242869	0.119445	0.137460	0.242183	0.131295	0.126748	0.242869	0.119445	0.137460	0.242183	0.131295	0.258753	0.127899	0.135468	0.115141	0.126238	0.236501	0.258753	0.127899	0.135468	0.115141	0.126238	0.236501	0.258753	0.127899	0.135468	0.115141	0.126238	0.236501	
43000	1.695768	2	0.124821	0.238094	0.128297	0.137367	0.242028	0.129394	0.124821	0.238094	0.128297	0.137367	0.242028	0.129394	0.124821	0.238094	0.128297	0.137367	0.242028	0.129394	0.254341	0.130420	0.135796	0.112975	0.125796	0.240672	0.254341	0.130420	0.135796	0.112975	0.125796	0.240672	0.254341	0.130420	0.135796	0.112975	0.125796	0.240672	
44000	1.695768	2	0.122463	0.238340	0.126181	0.134169	0.240878	0.137969	0.122463	0.238340	0.126181	0.134169	0.240878	0.137969	0.122463	0.238340	0.126181	0.134169	0.240878	0.137969	0.258968	0.117033	0.131491	0.123778	0.121882	0.246847	0.258968	0.117033	0.131491	0.123778	0.121882	0.246847	0.258968	0.117033	0.131491	0.123778	0.121882	0.246847	
45000	1.695768	2	0.117605	0.249199	0.126013	0.134832	0.229971	0.142380	0.117605	0.249199	0.126013	0.134832	0.229971	0.142380	0.117605	0.249199	0.126013	0.134832	0.229971	0.142380	0.258401	0.126974	0.136116	0.115231	0.113928	0.249351	0.258401	0.126974	0.136116	0.115231	0.113928	0.249351	0.258401	0.126974	0.136116	0.115231	0.113928	0.249351	
46000	1.695768	2	0.126101	0.250046	0.126267	0.139231	0.230535	0.127819	0.126101	0.250046	0.126267	0.139231	0.230535	0.127819	0.126101	0.250046	0.126267	0.139231	0.230535	0.127819	0.249481	0.121161	0.138477	0.113903	0.121530	0.255448	0.249481	0.121161	0.138477	0.113903	0.121530	0.255448	0.249481	0.121161	0.138477	0.113903	0.121530	0.255448	
47000	1.695768	2	0.112633	0.235848	0.124604	0.148138	0.248724	0.130054	0.112633	0.235848	0.124604	0.148138	0.248724	0.130054	0.112633	0.235848	0.124604	0.148138	0.248724	0.130054	0.234327	0.128191	0.131499	0.127926	0.111650	0.266407	0.234327	0.128191	0.131499	0.127926	0.111650	0.266407	0.234327	0.128191	0.131499	0.127926	0.111650	0.266407	
48000	1.695768	2	0.127651	0.234341	0.132860	0.140177	0.239581	0.125390	0.127651	0.234341	0.132860	0.140177	0.239581	0.125390	0.127651	0.234341	0.132860	0.140177	0.239581	0.125390	0.263559	0.128138	0.142324	0.116551	0.115462	0.233966	0.263559	0.128138	0.142324	0.116551	0.115462	0.233966	0.263559	0.128138	0.142324	0.116551	0.115462	0.233966	
49000	1.695768	2	0.121228	0.247313	0.130249	0.132781	0.237397	0.131032	0.121228	0.247313	0.130249	0.132781	0.237397	0.131032	0.121228	0.247313	0.130249	0.132781	0.237397	0.131032	0.256283	0.129063	0.144946	0.113793	0.123574	0.232340	0.256283	0.129063	0.144946	0.113793	0.123574	0.232340	0.256283	0.129063	0.144946	0.113793	0.123574	0.232340	
50000	1.695768	2	0.130552	0.237190	0.127924	0.143944	0.227328	0.133062	0.130552	0.237190	0.127924	0.143944	0.227328	0.133062	0.130552	0.237190	0.127924	0.143944	0.227328	0.133062	0.263589	0.126242	0.132238	0.119127	0.113718	0.245086	0.263589	0.126242	0.132238	0.119127	0.113718	0.245086	0.263589	0.126242	0.132238	0.119127	0.113718	0.245086	
51000	1.695768	2	0.127948	0.242949	0.130769	0.131064	0.245707	0.121562	0.127948	0.242949	0.130769	0.131064	0.245707	0.121562	0.127948	0.242949	0.130769	0.131064	0.245707	0.121562	0.268825	0.118449	0.142367	0.118476	0.117930	0.233953	0.268825	0.118449	0.142367	0.118476	0.117930	0.233953	0.268825	0.118449	0.142367	0.118476	0.117930	0.233953	
52000	1.695768	2	0.122441	0.233770	0.128285	0.139977	0.251154	0.124372	0.122441	0.233770	0.128285	0.139977	0.251154	0.124372	0.122441	0.233770	0.128285	0.139977	0.251154	0.124372	0.246568	0.132023	0.137343	0.119997	0.122641	0.241429	0.246568	0.132023	0.137343	0.119997	0.122641	0.241429	0.246568	0.132023	0.137343	0.119997	0.122641	0.241429	
53000	1.695768	2	0.120232	0.246997	0.127839	0.138426	0.237096	0.129410	0.120232	0.246997	0.127839	0.138426	0.237096	0.129410	0.120232	0.246997	0.127839	0.138426	0.237096	0.129410	0.248414	0.116219	0.141911	0.116421	0.130219	0.246816	0.248414	0.116219	0.141911	0.116421	0.130219	0.246816	0.248414	0.116219	0.141911	0.116421	0.130219	0.246816	
54000	1.695768	2	0.136713	0.229738	0.132713	0.135362	0.239670	0.125804	0.136713	0.229738	0.132713	0.135362	0.239670	0.125804	0.136713	0.229738	0.132713	0.135362	0.239670	0.125804	0.258683	0.122282	0.137978	0.119958	0.119257	0.241841	0.258683	0.122282	0.137978	0.119958	0.119257	0.241841	0.258683	0.122282	0.137978	0.119958	0.119257	0.241841	
