Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	
1200000	71.353907	4	9.631595	7.987292	16.063413	7.987292	8.432288	16.063413	
1201000	71.353907	4	8.961302	8.380107	16.352602	8.380107	7.911543	16.352602	
1202000	71.353907	5	9.714682	8.271451	15.958692	8.742991	8.270735	15.958692	
1203000	71.353907	5	9.864507	8.389042	16.115743	8.123217	8.178035	16.115743	
1204000	71.353907	4	9.337435	8.597665	16.328236	8.597665	7.811078	16.328236	
1205000	71.353907	4	9.146360	8.367578	15.735389	8.367578	9.276747	15.735389	
1206000	71.353907	4	9.210765	7.577568	15.144332	7.577568	7.263940	15.144332	
1207000	71.353907	5	9.550393	8.359303	16.578354	7.292029	8.177599	16.578354	
1208000	71.353907	4	10.210889	7.462607	16.369713	7.462607	8.367332	16.369713	
1209000	71.353907	5	9.284404	8.504931	15.677791	8.223821	8.336098	15.677791	
1210000	71.353907	5	9.706964	8.387896	16.598405	7.610594	8.296455	16.598405	
1211000	71.353907	4	9.800118	8.338427	15.971745	7.069893	8.338427	15.971745	
1212000	71.353907	5	9.968613	8.271899	16.247190	7.625731	9.155720	16.247190	
1213000	71.353907	4	9.929207	8.412939	15.572793	7.416241	7.416241	15.572793	
1214000	71.353907	4	9.044477	7.357213	16.704559	7.357213	8.157074	16.704559	
1215000	71.353907	5	8.830531	8.242724	15.979176	8.366811	8.143175	15.979176	
1216000	71.353907	4	9.361653	8.196275	16.169369	8.196275	7.923984	16.169369	
1217000	71.353907	4	9.509907	7.709695	15.817458	8.080256	8.080256	15.817458	
1218000	71.353907	3	9.534073	7.025809	16.390002	7.025809	7.025809	16.390002	
1219000	71.353907	4	9.357966	7.322870	16.503671	7.322870	7.647916	16.503671	
1220000	71.353907	5	9.030871	8.672142	15.830048	6.442315	8.757883	15.830048	
1221000	71.353907	4	9.944435	7.704970	15.339681	7.704970	8.711462	15.339681	
1222000	71.353907	4	9.986826	8.436573	16.027048	8.436573	8.661078	16.027048	
1223000	71.353907	3	9.051471	7.752961	15.929872	7.752961	9.051471	15.929872	
1224000	71.353907	4	10.468197	8.159806	15.576162	7.362607	7.362607	15.576162	
1225000	71.353907	4	10.025757	7.707782	15.583381	7.707782	8.914633	15.583381	
1226000	71.353907	4	10.212893	8.348988	16.464287	7.006199	8.348988	16.464287	
1227000	71.353907	3	9.020849	7.795945	16.271290	7.795945	9.020849	16.271290	
1228000	71.353907	4	9.911795	8.239089	16.166111	8.239089	8.149358	16.166111	
1229000	71.353907	4	9.831166	7.106164	15.506400	7.106164	7.835522	15.506400	
1230000	71.353907	5	9.822726	8.037560	15.378134	7.351606	8.838303	15.378134	
1231000	71.353907	4	9.176683	7.583164	16.820852	7.583164	7.820566	16.820852	
1232000	71.353907	4	9.493610	8.230089	16.366746	7.958298	8.230089	16.366746	
1233000	71.353907	4	9.825422	7.498242	15.805402	7.498242	8.724549	15.805402	
1234000	71.353907	4	8.803154	8.135599	15.726367	8.135599	8.977020	15.726367	
1235000	71.353907	4	9.797041	8.299804	16.135532	8.299804	8.065440	16.135532	
1236000	71.353907	5	9.818191	7.856327	15.919065	6.988539	8.136449	15.919065	
1237000	71.353907	5	9.431127	8.793168	16.404756	7.100824	9.154936	16.404756	
1238000	71.353907	3	9.497288	7.912698	16.804146	7.912698	7.912698	16.804146	
1239000	71.353907	3	9.318991	8.200049	14.933599	8.200049	8.200049	14.933599	
1240000	71.353907	4	9.240101	7.760184	15.699793	7.760184	8.670543	15.699793	
1241000	71.353907	4	9.690741	7.938342	16.593975	7.203560	7.938342	16.593975	
1242000	71.353907	4	9.498421	8.447131	16.969800	7.250248	7.250248	16.969800	
1243000	71.353907	4	9.009809	7.600964	15.383979	7.600964	8.293491	15.383979	
1244000	71.353907	4	9.724552	7.506922	16.368186	7.506922	8.328404	16.368186	
1245000	71.353907	4	9.430261	8.053209	16.774647	8.053209	8.163251	16.774647	
1246000	71.353907	4	9.908345	8.468105	15.477217	7.699278	7.699278	15.477217	
1247000	71.353907	4	10.501067	7.468632	15.622933	7.468632	8.474965	15.622933	
1248000	71.353907	4	9.977783	7.857420	15.835077	7.414633	7.857420	15.835077	
1249000	71.353907	4	9.116077	7.495896	15.292982	7.495896	7.619741	15.292982	
1250000	71.353907	3	9.505474	8.024409	15.391154	8.024409	8.024409	15.391154	
1251000	71.353907	5	9.602550	8.511321	16.071327	8.298334	8.892630	16.071327	
1252000	71.353907	3	9.217575	8.033823	15.832038	8.033823	8.033823	15.832038	
1253000	71.353907	5	9.091717	8.135447	15.477810	8.100769	8.233794	15.477810	
1254000	71.353907	4	9.802310	6.641152	15.563853	6.641152	8.000612	15.563853	
1255000	71.353907	3	10.035829	7.381575	16.152658	7.381575	7.381575	16.152658	
1256000	71.353907	4	9.996397	8.549762	16.250753	8.549762	8.569263	16.250753	
1257000	71.353907	4	9.009206	8.639821	14.948031	7.765379	8.639821	14.948031	
1258000	71.353907	3	9.960579	7.800244	16.153432	7.800244	7.800244	16.153432	
1259000	71.353907	4	9.819280	7.471419	15.801717	7.471419	8.372913	15.801717	
1260000	71.353907	4	10.028549	7.750119	16.270975	7.750119	8.186062	16.270975	
1261000	71.353907	4	9.344824	7.220603	15.231786	7.220603	7.859229	15.231786	
1262000	71.353907	4	9.678984	7.215847	15.181567	7.215847	7.877832	15.181567	
1263000	71.353907	3	9.759355	7.708431	15.078816	7.708431	7.708431	15.078816	
1264000	71.353907	5	9.271106	7.346640	15.311798	7.523212	8.354301	15.311798	
1265000	71.353907	4	9.461895	8.175664	16.999188	8.175664	8.351204	16.999188	
1266000	71.353907	3	10.224457	7.987794	16.254617	7.987794	7.987794	16.254617	
1267000	71.353907	3	8.941225	7.658848	16.204297	7.658848	7.658848	16.204297	
1268000	71.353907	5	9.814475	8.084574	15.823115	8.209646	8.327233	15.823115	
1269000	71.353907	4	9.059214	7.421283	15.554563	7.643635	7.643635	15.554563	
1270000	71.353907	5	9.499928	7.706940	15.994005	8.194694	8.152466	15.994005	
1271000	71.353907	4	9.175948	7.668205	16.813135	7.668205	8.126251	16.813135	
1272000	71.353907	5	9.097745	7.989171	16.438689	7.022619	8.911881	16.438689	
1273000	71.353907	4	9.797375	8.113748	15.545056	7.349050	8.113748	15.545056	
1274000	71.353907	5	9.278959	8.325207	15.984634	7.890441	9.022896	15.984634	
1275000	71.353907	5	9.528812	8.843665	15.854427	7.253311	7.829771	15.854427	
1276000	71.353907	3	10.408170	7.705063	15.772316	7.705063	7.705063	15.772316	
1277000	71.353907	4	8.567740	8.469230	15.159118	7.970011	7.970011	15.159118	
1278000	71.353907	3	9.454555	7.618225	15.761470	7.618225	7.618225	15.761470	
1279000	71.353907	4	9.200498	8.288097	15.818747	6.699724	8.288097	15.818747	
1280000	71.353907	4	9.993041	8.250572	16.360239	8.272718	8.250572	16.360239	
1281000	71.353907	5	10.118799	8.559692	15.494564	8.235192	8.311160	15.494564	
1282000	71.353907	4	9.611640	8.456327	15.141839	8.234156	8.234156	15.141839	
1283000	71.353907	3	9.055277	7.551932	16.098534	7.551932	7.551932	16.098534	
1284000	71.353907	3	9.374572	8.152739	14.770581	8.152739	8.152739	14.770581	
