Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
7192000	5.281709	4	0.225870	0.233700	0.233700	2.417213	0.483917	0.483917	0.225870	0.233700	2.417213	
7193000	4.981107	5	0.234878	0.234878	0.234878	2.095717	0.377060	0.491473	0.234878	0.143070	2.095717	
7194000	5.464464	4	0.239875	0.239875	0.239875	2.575251	0.479975	0.479975	0.239875	0.186027	2.575251	
7195000	8.324689	4	0.238130	0.238130	0.238130	1.844690	0.522893	0.522893	0.238130	0.204628	1.844690	
7196000	4.354856	3	0.241083	0.241083	0.241083	2.302895	0.449520	0.449520	0.241083	0.241083	2.302895	
7197000	5.032651	5	0.238784	0.238784	0.221951	3.278109	0.383992	0.564585	0.221951	0.221951	3.278109	
7198000	4.374402	3	0.239331	0.239331	0.239331	2.329071	0.530905	0.530905	0.239331	0.239331	2.329071	
7199000	5.265840	5	0.267631	0.267631	0.267631	2.671421	0.521158	0.521158	0.207390	0.161864	2.671421	
7200000	6.067743	6	0.250848	0.250848	0.270109	2.657353	0.488097	0.488097	0.234021	0.234021	2.051740	
7201000	4.962892	5	0.255736	0.255736	0.255736	2.981666	0.424561	0.424561	0.219039	0.143570	2.981666	
7202000	6.450424	5	0.269652	0.233280	0.233280	2.440648	0.452583	0.489767	0.233280	0.233280	2.440648	
7203000	4.992870	4	0.233048	0.233048	0.233048	2.294494	0.525718	0.525718	0.233048	0.218022	2.294494	
7204000	4.580503	5	0.254528	0.254528	0.254528	2.848713	0.414190	0.490640	0.254528	0.200649	2.848713	
7205000	6.283467	6	0.236766	0.228343	0.236766	2.316556	0.596507	0.523333	0.236766	0.228343	2.356930	
7206000	7.229257	4	0.241701	0.241701	0.241701	2.816614	0.489009	0.489009	0.241701	0.166534	2.816614	
7207000	6.979925	5	0.247973	0.247973	0.247973	2.700169	0.456404	0.534992	0.247973	0.178427	2.700169	
