Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
175000	1.097070	2	7.702969	7.702969	7.702969	48.505363	7.702969	7.702969	7.702969	7.702969	48.505363	
176000	0.778796	2	7.518789	7.518789	7.518789	50.903405	7.518789	7.518789	7.518789	7.518789	50.903405	
177000	2.986389	2	7.864047	7.864047	7.864047	50.368465	7.864047	7.864047	7.864047	7.864047	50.368465	
178000	1.923292	2	7.627228	7.627228	7.627228	50.145271	7.627228	7.627228	7.627228	7.627228	50.145271	
179000	1.364797	2	7.891785	7.891785	7.891785	50.013906	7.891785	7.891785	7.891785	7.891785	50.013906	
180000	0.898218	2	7.899011	7.899011	7.899011	47.542496	7.899011	7.899011	7.899011	7.899011	47.542496	
181000	0.870885	2	7.571231	7.571231	7.571231	50.327676	7.571231	7.571231	7.571231	7.571231	50.327676	
182000	1.127438	2	7.751033	7.751033	7.751033	50.255973	7.751033	7.751033	7.751033	7.751033	50.255973	
183000	1.171308	2	7.907211	7.907211	7.907211	48.422606	7.907211	7.907211	7.907211	7.907211	48.422606	
184000	0.790975	2	7.792887	7.792887	7.792887	53.293026	7.792887	7.792887	7.792887	7.792887	53.293026	
185000	2.665477	2	7.626957	7.626957	7.626957	50.580221	7.626957	7.626957	7.626957	7.626957	50.580221	
186000	1.938169	2	7.937583	7.937583	7.937583	50.230339	7.937583	7.937583	7.937583	7.937583	50.230339	
187000	0.914541	2	7.386822	7.386822	7.386822	50.754286	7.386822	7.386822	7.386822	7.386822	50.754286	
188000	1.306189	2	7.826079	7.826079	7.826079	48.755274	7.826079	7.826079	7.826079	7.826079	48.755274	
189000	1.105724	2	8.190336	8.190336	8.190336	48.560482	8.190336	8.190336	8.190336	8.190336	48.560482	
190000	0.627621	2	7.855974	7.855974	7.855974	49.679774	7.855974	7.855974	7.855974	7.855974	49.679774	
191000	0.521082	2	7.946369	7.946369	7.946369	49.453057	7.946369	7.946369	7.946369	7.946369	49.453057	
192000	1.120889	2	7.825578	7.825578	7.825578	50.513459	7.825578	7.825578	7.825578	7.825578	50.513459	
193000	0.913218	2	7.402805	7.402805	7.402805	49.858414	7.402805	7.402805	7.402805	7.402805	49.858414	
194000	0.787943	2	7.422754	7.422754	7.422754	51.194642	7.422754	7.422754	7.422754	7.422754	51.194642	
195000	0.393205	2	7.863427	7.863427	7.863427	51.202845	7.863427	7.863427	7.863427	7.863427	51.202845	
196000	0.491131	2	7.797750	7.797750	7.797750	51.227434	7.797750	7.797750	7.797750	7.797750	51.227434	
197000	0.341935	2	7.670849	7.670849	7.670849	49.071196	7.670849	7.670849	7.670849	7.670849	49.071196	
198000	0.599374	2	7.979829	7.979829	7.979829	50.407450	7.979829	7.979829	7.979829	7.979829	50.407450	
199000	1.704623	2	7.642565	7.642565	7.642565	50.021925	7.642565	7.642565	7.642565	7.642565	50.021925	
200000	1.665145	2	7.659687	7.659687	7.659687	51.229668	7.659687	7.659687	7.659687	7.659687	51.229668	
201000	0.594030	2	8.025047	8.025047	8.025047	50.664595	8.025047	8.025047	8.025047	8.025047	50.664595	
202000	0.334238	2	7.765626	7.765626	7.765626	51.404221	7.765626	7.765626	7.765626	7.765626	51.404221	
203000	0.503868	2	7.811209	7.811209	7.811209	51.366337	7.811209	7.811209	7.811209	7.811209	51.366337	
204000	1.196399	2	8.111540	8.111540	8.111540	49.202266	8.111540	8.111540	8.111540	8.111540	49.202266	
205000	1.505548	2	7.816199	7.816199	7.816199	48.720095	7.816199	7.816199	7.816199	7.816199	48.720095	
206000	1.657682	2	8.161016	8.161016	8.161016	48.080914	8.161016	8.161016	8.161016	8.161016	48.080914	
207000	2.804321	2	8.430991	8.430991	8.430991	49.285063	8.430991	8.430991	8.430991	8.430991	49.285063	
208000	0.707878	2	7.803922	7.803922	7.803922	48.151807	7.803922	7.803922	7.803922	7.803922	48.151807	
209000	0.966443	2	7.976736	7.976736	7.976736	47.742450	7.976736	7.976736	7.976736	7.976736	47.742450	
210000	0.865820	2	7.827271	7.827271	7.827271	51.296181	7.827271	7.827271	7.827271	7.827271	51.296181	
211000	0.459675	2	7.555845	7.555845	7.555845	50.141095	7.555845	7.555845	7.555845	7.555845	50.141095	
