Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	TL[5]	TL[6]	TL[7]	TL[8]	TL[9]	
136000	1.137478	2	7.406567	7.406567	7.406567	47.430917	7.406567	7.406567	7.406567	7.406567	47.430917	
137000	1.137478	2	7.515232	7.515232	7.515232	48.204832	7.515232	7.515232	7.515232	7.515232	48.204832	
138000	1.137478	2	7.171435	7.171435	7.171435	46.892178	7.171435	7.171435	7.171435	7.171435	46.892178	
139000	1.137478	2	7.616233	7.616233	7.616233	46.171740	7.616233	7.616233	7.616233	7.616233	46.171740	
140000	1.137478	2	7.597368	7.597368	7.597368	46.349589	7.597368	7.597368	7.597368	7.597368	46.349589	
141000	1.137478	2	7.555448	7.555448	7.555448	45.757104	7.555448	7.555448	7.555448	7.555448	45.757104	
142000	1.137478	2	7.668029	7.668029	7.668029	46.057445	7.668029	7.668029	7.668029	7.668029	46.057445	
143000	1.137478	2	7.019802	7.019802	7.019802	47.007303	7.019802	7.019802	7.019802	7.019802	47.007303	
144000	1.137478	2	7.431218	7.431218	7.431218	47.832994	7.431218	7.431218	7.431218	7.431218	47.832994	
145000	1.137478	2	7.692162	7.692162	7.692162	47.617099	7.692162	7.692162	7.692162	7.692162	47.617099	
146000	1.137478	2	7.247699	7.247699	7.247699	47.660734	7.247699	7.247699	7.247699	7.247699	47.660734	
147000	1.137478	2	7.267538	7.267538	7.267538	46.854180	7.267538	7.267538	7.267538	7.267538	46.854180	
148000	1.137478	2	7.188550	7.188550	7.188550	46.940204	7.188550	7.188550	7.188550	7.188550	46.940204	
149000	1.137478	2	7.409362	7.409362	7.409362	48.451217	7.409362	7.409362	7.409362	7.409362	48.451217	
150000	1.137478	2	7.338181	7.338181	7.338181	46.707608	7.338181	7.338181	7.338181	7.338181	46.707608	
151000	1.137478	2	7.331650	7.331650	7.331650	47.183719	7.331650	7.331650	7.331650	7.331650	47.183719	
152000	1.137478	2	7.143702	7.143702	7.143702	46.617408	7.143702	7.143702	7.143702	7.143702	46.617408	
153000	1.137478	2	6.976578	6.976578	6.976578	47.372743	6.976578	6.976578	6.976578	6.976578	47.372743	
154000	1.137478	2	7.060542	7.060542	7.060542	47.477270	7.060542	7.060542	7.060542	7.060542	47.477270	
155000	1.137478	2	7.390672	7.390672	7.390672	44.480701	7.390672	7.390672	7.390672	7.390672	44.480701	
156000	1.137478	2	7.473391	7.473391	7.473391	46.960394	7.473391	7.473391	7.473391	7.473391	46.960394	
157000	1.137478	2	7.457600	7.457600	7.457600	47.642906	7.457600	7.457600	7.457600	7.457600	47.642906	
158000	1.137478	2	7.178650	7.178650	7.178650	47.946081	7.178650	7.178650	7.178650	7.178650	47.946081	
159000	1.137478	2	7.510259	7.510259	7.510259	47.650016	7.510259	7.510259	7.510259	7.510259	47.650016	
160000	1.137478	2	7.011361	7.011361	7.011361	47.476364	7.011361	7.011361	7.011361	7.011361	47.476364	
161000	1.137478	2	7.211891	7.211891	7.211891	46.724432	7.211891	7.211891	7.211891	7.211891	46.724432	
162000	1.137478	2	7.030946	7.030946	7.030946	45.962553	7.030946	7.030946	7.030946	7.030946	45.962553	
163000	1.137478	2	7.668622	7.668622	7.668622	47.223461	7.668622	7.668622	7.668622	7.668622	47.223461	
164000	1.137478	2	7.467690	7.467690	7.467690	47.697195	7.467690	7.467690	7.467690	7.467690	47.697195	
165000	1.137478	2	7.679983	7.679983	7.679983	44.896204	7.679983	7.679983	7.679983	7.679983	44.896204	
166000	1.137478	2	7.468833	7.468833	7.468833	45.879974	7.468833	7.468833	7.468833	7.468833	45.879974	
167000	1.137478	2	7.440730	7.440730	7.440730	47.072897	7.440730	7.440730	7.440730	7.440730	47.072897	
168000	1.137478	2	7.095700	7.095700	7.095700	46.442198	7.095700	7.095700	7.095700	7.095700	46.442198	
169000	1.137478	2	7.175116	7.175116	7.175116	46.075074	7.175116	7.175116	7.175116	7.175116	46.075074	
170000	1.137478	2	7.304319	7.304319	7.304319	46.455238	7.304319	7.304319	7.304319	7.304319	46.455238	
171000	1.137478	2	7.489407	7.489407	7.489407	47.728401	7.489407	7.489407	7.489407	7.489407	47.728401	
172000	1.137478	2	7.536998	7.536998	7.536998	46.645676	7.536998	7.536998	7.536998	7.536998	46.645676	
173000	1.137478	2	7.958171	7.958171	7.958171	49.092108	7.958171	7.958171	7.958171	7.958171	49.092108	
174000	1.137478	2	7.494169	7.494169	7.494169	48.662545	7.494169	7.494169	7.494169	7.494169	48.662545	
175000	1.137478	2	7.634524	7.634524	7.634524	49.383656	7.634524	7.634524	7.634524	7.634524	49.383656	
