Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
820000	1.137478	4	0.245173	0.245173	0.245173	3.005901	0.429439	0.497712	0.245173	0.245173	3.005901	
821000	1.137478	4	0.220379	0.220379	0.220379	2.353506	0.430571	0.508851	0.220379	0.220379	2.353506	
822000	1.137478	3	0.239828	0.239828	0.239828	2.717996	0.464893	0.464893	0.239828	0.239828	2.717996	
823000	1.137478	4	0.242141	0.242141	0.242141	2.760421	0.362044	0.362044	0.242141	0.203312	2.760421	
824000	1.137478	5	0.245814	0.245814	0.245814	2.224873	0.417997	0.513576	0.245814	0.184348	2.224873	
825000	1.137478	3	0.251070	0.251070	0.251070	2.878430	0.429437	0.429437	0.251070	0.251070	2.878430	
826000	1.137478	4	0.253477	0.253477	0.253477	2.192038	0.439424	0.439424	0.253477	0.126534	2.192038	
827000	1.137478	5	0.225887	0.268088	0.268088	3.033494	0.391996	0.391996	0.225887	0.169339	3.033494	
828000	1.137478	3	0.230297	0.230297	0.230297	3.454860	0.311396	0.311396	0.230297	0.230297	3.454860	
829000	1.137478	4	0.247414	0.247414	0.247414	2.371031	0.538902	0.538902	0.241340	0.247414	2.371031	
830000	1.137478	4	0.240326	0.240326	0.223485	2.460204	0.442352	0.442352	0.223485	0.223485	2.460204	
831000	1.137478	3	0.236506	0.236506	0.236506	3.125476	0.531102	0.531102	0.236506	0.236506	3.125476	
832000	1.137478	3	0.238818	0.238818	0.238818	2.130887	0.520490	0.520490	0.238818	0.238818	2.130887	
833000	1.137478	5	0.241807	0.241807	0.241807	2.688585	0.397093	0.551672	0.241807	0.163413	2.688585	
834000	1.137478	3	0.242626	0.242626	0.242626	3.299836	0.471934	0.471934	0.242626	0.242626	3.299836	
835000	1.137478	3	0.244024	0.244024	0.244024	2.506179	0.463932	0.463932	0.244024	0.244024	2.506179	
836000	1.137478	4	0.256127	0.256127	0.256127	3.019190	0.541481	0.541481	0.256127	0.152320	3.019190	
837000	1.137478	3	0.239658	0.239658	0.239658	2.662121	0.510804	0.510804	0.239658	0.239658	2.662121	
838000	1.137478	3	0.248499	0.248499	0.248499	2.827524	0.450246	0.450246	0.248499	0.248499	2.827524	
839000	1.137478	4	0.239453	0.239453	0.239453	2.870111	0.502854	0.502854	0.239453	0.174278	2.870111	
840000	1.137478	4	0.243593	0.243593	0.243593	2.853384	0.507898	0.507898	0.243593	0.243593	1.790465	
841000	1.137478	4	0.256239	0.256239	0.256239	2.469196	0.433340	0.433340	0.256239	0.203325	2.469196	
842000	1.137478	4	0.246006	0.246006	0.246006	2.894066	0.533985	0.533985	0.246006	0.144769	2.894066	
843000	1.137478	4	0.242675	0.242675	0.242675	2.587773	0.499438	0.499438	0.242675	0.214098	2.587773	
844000	1.137478	3	0.237054	0.237054	0.237054	2.984576	0.493207	0.493207	0.237054	0.237054	2.984576	
845000	1.137478	4	0.250917	0.250917	0.250917	2.795488	0.492219	0.492219	0.250917	0.148127	2.795488	
846000	1.137478	4	0.239361	0.239361	0.239361	3.075114	0.482191	0.482191	0.239361	0.145669	3.075114	
847000	1.137478	4	0.261059	0.261059	0.261059	2.768186	0.486757	0.486757	0.261059	0.126273	2.768186	
848000	1.137478	4	0.231101	0.231101	0.231101	3.186591	0.491477	0.491477	0.231101	0.216238	3.186591	
849000	1.137478	3	0.235603	0.235603	0.235603	2.709767	0.485372	0.485372	0.235603	0.235603	2.709767	
850000	1.137478	4	0.238941	0.238941	0.238941	2.892069	0.454579	0.454579	0.238941	0.176164	2.892069	
851000	1.137478	3	0.232988	0.232988	0.232988	2.847118	0.489438	0.489438	0.232988	0.232988	2.847118	
852000	1.137478	3	0.246486	0.246486	0.246486	2.803131	0.518993	0.518993	0.246486	0.246486	2.803131	
853000	1.137478	4	0.241469	0.241469	0.241469	2.000822	0.346657	0.416866	0.241469	0.241469	2.000822	
854000	1.137478	4	0.238877	0.238877	0.238877	2.741845	0.428755	0.557818	0.238877	0.238877	2.741845	
855000	1.137478	3	0.240006	0.240006	0.240006	2.889482	0.414901	0.414901	0.240006	0.240006	2.889482	
856000	1.137478	4	0.248802	0.248802	0.248802	2.244089	0.457505	0.457505	0.248802	0.230839	2.244089	
857000	1.137478	4	0.232557	0.232557	0.232557	2.917207	0.496190	0.496190	0.232557	0.185499	2.917207	
858000	1.137478	4	0.235152	0.235152	0.235152	2.811248	0.483013	0.483013	0.235152	0.235152	1.878214	
859000	1.137478	3	0.238540	0.238540	0.238540	2.472695	0.468475	0.468475	0.238540	0.238540	2.472695	
860000	1.137478	4	0.234056	0.234056	0.234056	2.511096	0.534513	0.534513	0.235913	0.234056	2.511096	
861000	1.137478	4	0.243547	0.243547	0.243547	2.963802	0.447409	0.514613	0.243547	0.243547	2.963802	
862000	1.137478	5	0.233222	0.233222	0.244315	2.293812	0.454648	0.454648	0.233222	0.154856	2.293812	
863000	1.137478	3	0.228349	0.228349	0.228349	2.840437	0.509214	0.509214	0.228349	0.228349	2.840437	
864000	1.137478	3	0.242370	0.242370	0.242370	2.904687	0.471066	0.471066	0.242370	0.242370	2.904687	
865000	1.137478	4	0.246078	0.246078	0.246078	3.009395	0.477937	0.477937	0.246078	0.246078	2.152148	
866000	1.137478	3	0.234588	0.234588	0.234588	2.647192	0.482664	0.482664	0.234588	0.234588	2.647192	
867000	1.137478	5	0.220318	0.220318	0.238651	2.694036	0.448533	0.448533	0.238651	0.147925	2.694036	
868000	1.137478	4	0.265313	0.265313	0.265313	2.985801	0.378251	0.378251	0.265313	0.183989	2.985801	
869000	1.137478	4	0.238317	0.238317	0.238317	3.109729	0.495589	0.495589	0.238317	0.171003	3.109729	
870000	1.137478	3	0.261817	0.261817	0.261817	2.715615	0.440808	0.440808	0.261817	0.261817	2.715615	
871000	1.137478	3	0.239511	0.239511	0.239511	2.587430	0.447912	0.447912	0.239511	0.239511	2.587430	
872000	1.137478	4	0.232150	0.232150	0.232150	3.185844	0.422595	0.499970	0.232150	0.232150	3.185844	
