Generation	ConcentrationParm	Degree	Alpha[1]	Alpha[2]	Alpha[3]	Alpha[4]	Alpha[5]	Alpha[6]	Alpha[7]	Alpha[8]	Alpha[9]	
6079000	1.137478	4	0.247761	0.247761	0.247761	2.479491	0.481023	0.481023	0.247761	0.188379	2.479491	
6080000	1.137478	3	0.219483	0.219483	0.219483	2.627618	0.433206	0.433206	0.219483	0.219483	2.627618	
6081000	1.137478	3	0.221503	0.221503	0.221503	3.212085	0.519803	0.519803	0.221503	0.221503	3.212085	
6082000	1.137478	3	0.225922	0.225922	0.225922	2.298297	0.473119	0.473119	0.225922	0.225922	2.298297	
6083000	1.137478	5	0.242773	0.242773	0.242773	3.834073	0.385936	0.632254	0.242773	0.174147	3.834073	
6084000	1.137478	5	0.238654	0.238654	0.238654	2.625773	0.375802	0.618971	0.238654	0.172118	2.625773	
6085000	1.137478	4	0.249803	0.229723	0.229723	2.378767	0.394187	0.394187	0.229723	0.229723	2.378767	
6086000	1.137478	4	0.244649	0.244649	0.244649	2.990615	0.451937	0.451937	0.244649	0.221117	2.990615	
6087000	1.137478	4	0.226613	0.257832	0.226613	2.860416	0.510186	0.510186	0.226613	0.226613	2.860416	
6088000	1.137478	4	0.227240	0.227240	0.227240	3.162147	0.449251	0.449251	0.227240	0.227240	2.494614	
6089000	1.137478	4	0.233779	0.233779	0.233779	2.569858	0.344648	0.484964	0.233779	0.233779	2.569858	
6090000	1.137478	4	0.259965	0.259965	0.259965	2.691779	0.451042	0.451042	0.259965	0.208287	2.691779	
6091000	1.137478	3	0.251482	0.251482	0.251482	2.587891	0.483241	0.483241	0.251482	0.251482	2.587891	
6092000	1.137478	5	0.257541	0.257541	0.230436	3.069062	0.443935	0.443935	0.257541	0.167829	3.069062	
6093000	1.137478	3	0.254401	0.254401	0.254401	2.211825	0.431210	0.431210	0.254401	0.254401	2.211825	
6094000	1.137478	3	0.238834	0.238834	0.238834	2.563731	0.611974	0.611974	0.238834	0.238834	2.563731	
6095000	1.137478	3	0.231359	0.231359	0.231359	2.319800	0.449688	0.449688	0.231359	0.231359	2.319800	
6096000	1.137478	4	0.242746	0.242746	0.242746	2.815081	0.431984	0.504266	0.242746	0.242746	2.815081	
6097000	1.137478	5	0.232968	0.232968	0.232968	2.113565	0.518425	0.641669	0.232968	0.168481	2.113565	
6098000	1.137478	4	0.240013	0.240013	0.240013	1.876823	0.510570	0.510570	0.240013	0.139950	1.876823	
6099000	1.137478	3	0.230302	0.230302	0.230302	2.677805	0.549668	0.549668	0.230302	0.230302	2.677805	
6100000	1.137478	3	0.243622	0.243622	0.243622	2.276817	0.503389	0.503389	0.243622	0.243622	2.276817	
6101000	1.137478	5	0.234404	0.234404	0.234404	2.734645	0.401272	0.650254	0.234404	0.138733	2.734645	
6102000	1.137478	5	0.240683	0.255844	0.245841	1.828696	0.529599	0.529599	0.245841	0.240683	1.828696	
6103000	1.137478	4	0.244404	0.244404	0.244404	2.933222	0.493039	0.493039	0.244404	0.184071	2.933222	
6104000	1.137478	3	0.233661	0.233661	0.233661	2.693405	0.507330	0.507330	0.233661	0.233661	2.693405	
6105000	1.137478	4	0.238290	0.238290	0.238290	2.704026	0.422741	0.500083	0.238290	0.238290	2.704026	
6106000	1.137478	4	0.261873	0.261873	0.261873	2.741657	0.426956	0.506814	0.261873	0.261873	2.741657	
6107000	1.137478	4	0.241378	0.241378	0.261958	3.091325	0.497207	0.497207	0.241378	0.241378	3.091325	
6108000	1.137478	3	0.241977	0.241977	0.241977	2.705635	0.495644	0.495644	0.241977	0.241977	2.705635	
6109000	1.137478	4	0.241749	0.241749	0.241749	2.736306	0.456023	0.456023	0.241749	0.238267	2.736306	
6110000	1.137478	5	0.252361	0.252361	0.230889	3.212205	0.382700	0.473690	0.252361	0.230889	3.212205	
6111000	1.137478	3	0.256624	0.256624	0.256624	2.793120	0.463949	0.463949	0.256624	0.256624	2.793120	
6112000	1.137478	3	0.242057	0.242057	0.242057	2.958188	0.499270	0.499270	0.242057	0.242057	2.958188	
