Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	Pi[A,7]	Pi[C,7]	Pi[G,7]	Pi[T,7]	Pi[A,8]	Pi[C,8]	Pi[G,8]	Pi[T,8]	Pi[A,9]	Pi[C,9]	Pi[G,9]	Pi[T,9]	
9248000	1.137478	4	0.422529	0.324322	0.072799	0.180350	0.422529	0.324322	0.072799	0.180350	0.180567	0.374831	0.149250	0.295352	0.396302	0.401818	0.054948	0.146932	0.180567	0.374831	0.149250	0.295352	0.379828	0.240747	0.119319	0.260106	0.396302	0.401818	0.054948	0.146932	0.180567	0.374831	0.149250	0.295352	0.396302	0.401818	0.054948	0.146932	
9249000	1.137478	3	0.409340	0.346490	0.064469	0.179701	0.409340	0.346490	0.064469	0.179701	0.273170	0.268119	0.197021	0.261689	0.396302	0.401818	0.054948	0.146932	0.273170	0.268119	0.197021	0.261689	0.273170	0.268119	0.197021	0.261689	0.396302	0.401818	0.054948	0.146932	0.273170	0.268119	0.197021	0.261689	0.396302	0.401818	0.054948	0.146932	
9250000	1.137478	4	0.429023	0.303624	0.072128	0.195225	0.429023	0.303624	0.072128	0.195225	0.155600	0.388642	0.108981	0.346777	0.399526	0.405577	0.055058	0.139839	0.265532	0.278092	0.240834	0.215543	0.265532	0.278092	0.240834	0.215543	0.399526	0.405577	0.055058	0.139839	0.155600	0.388642	0.108981	0.346777	0.399526	0.405577	0.055058	0.139839	
9251000	1.137478	3	0.431999	0.319884	0.071059	0.177058	0.431999	0.319884	0.071059	0.177058	0.231175	0.282681	0.177651	0.308493	0.399526	0.405577	0.055058	0.139839	0.231175	0.282681	0.177651	0.308493	0.231175	0.282681	0.177651	0.308493	0.399526	0.405577	0.055058	0.139839	0.231175	0.282681	0.177651	0.308493	0.399526	0.405577	0.055058	0.139839	
9252000	1.137478	4	0.431999	0.319884	0.071059	0.177058	0.431999	0.319884	0.071059	0.177058	0.233976	0.268855	0.134856	0.362314	0.393208	0.408761	0.050529	0.147502	0.273035	0.250549	0.197826	0.278590	0.273035	0.250549	0.197826	0.278590	0.393208	0.408761	0.050529	0.147502	0.233976	0.268855	0.134856	0.362314	0.393208	0.408761	0.050529	0.147502	
9253000	1.137478	4	0.431999	0.319884	0.071059	0.177058	0.431999	0.319884	0.071059	0.177058	0.206838	0.370595	0.123862	0.298704	0.393208	0.408761	0.050529	0.147502	0.279508	0.243631	0.213906	0.262955	0.279508	0.243631	0.213906	0.262955	0.393208	0.408761	0.050529	0.147502	0.206838	0.370595	0.123862	0.298704	0.393208	0.408761	0.050529	0.147502	
9254000	1.137478	3	0.403918	0.320424	0.074020	0.201638	0.403918	0.320424	0.074020	0.201638	0.227542	0.278150	0.162771	0.331537	0.393208	0.408761	0.050529	0.147502	0.227542	0.278150	0.162771	0.331537	0.227542	0.278150	0.162771	0.331537	0.393208	0.408761	0.050529	0.147502	0.227542	0.278150	0.162771	0.331537	0.393208	0.408761	0.050529	0.147502	
9255000	1.137478	3	0.403918	0.320424	0.074020	0.201638	0.403918	0.320424	0.074020	0.201638	0.259570	0.291415	0.154704	0.294311	0.393208	0.408761	0.050529	0.147502	0.259570	0.291415	0.154704	0.294311	0.259570	0.291415	0.154704	0.294311	0.393208	0.408761	0.050529	0.147502	0.259570	0.291415	0.154704	0.294311	0.393208	0.408761	0.050529	0.147502	
9256000	1.137478	3	0.397536	0.374683	0.065755	0.162026	0.397536	0.374683	0.065755	0.162026	0.272036	0.280194	0.164127	0.283643	0.393208	0.408761	0.050529	0.147502	0.272036	0.280194	0.164127	0.283643	0.272036	0.280194	0.164127	0.283643	0.397536	0.374683	0.065755	0.162026	0.272036	0.280194	0.164127	0.283643	0.393208	0.408761	0.050529	0.147502	
9257000	1.137478	4	0.367008	0.368087	0.066428	0.198477	0.367008	0.368087	0.066428	0.198477	0.227861	0.307843	0.139633	0.324663	0.396789	0.400875	0.052643	0.149693	0.297123	0.263975	0.195428	0.243474	0.297123	0.263975	0.195428	0.243474	0.396789	0.400875	0.052643	0.149693	0.227861	0.307843	0.139633	0.324663	0.396789	0.400875	0.052643	0.149693	
