Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	Pi[A,5]	Pi[C,5]	Pi[G,5]	Pi[T,5]	Pi[A,6]	Pi[C,6]	Pi[G,6]	Pi[T,6]	
1852000	71.353907	3	0.098566	0.421880	0.384295	0.095258	0.238159	0.260315	0.235166	0.266360	0.409648	0.102298	0.100457	0.387597	0.098566	0.421880	0.384295	0.095258	0.238159	0.260315	0.235166	0.266360	0.409648	0.102298	0.100457	0.387597	
1853000	71.353907	3	0.096222	0.411903	0.400450	0.091425	0.239781	0.255190	0.250269	0.254761	0.379208	0.103790	0.111089	0.405912	0.096222	0.411903	0.400450	0.091425	0.239781	0.255190	0.250269	0.254761	0.379208	0.103790	0.111089	0.405912	
1854000	71.353907	3	0.096222	0.411903	0.400450	0.091425	0.254012	0.259391	0.241469	0.245127	0.385424	0.101577	0.107059	0.405939	0.096222	0.411903	0.400450	0.091425	0.254012	0.259391	0.241469	0.245127	0.385424	0.101577	0.107059	0.405939	
1855000	71.353907	3	0.098836	0.404603	0.398118	0.098443	0.243559	0.260550	0.241359	0.254532	0.385424	0.101577	0.107059	0.405939	0.098836	0.404603	0.398118	0.098443	0.243559	0.260550	0.241359	0.254532	0.385424	0.101577	0.107059	0.405939	
1856000	71.353907	3	0.100145	0.398784	0.406490	0.094581	0.234316	0.245509	0.255490	0.264684	0.385424	0.101577	0.107059	0.405939	0.100145	0.398784	0.406490	0.094581	0.234316	0.245509	0.255490	0.264684	0.385424	0.101577	0.107059	0.405939	
1857000	71.353907	3	0.095857	0.398645	0.409169	0.096329	0.245779	0.254371	0.250704	0.249146	0.385424	0.101577	0.107059	0.405939	0.095857	0.398645	0.409169	0.096329	0.245779	0.254371	0.250704	0.249146	0.385424	0.101577	0.107059	0.405939	
1858000	71.353907	3	0.095857	0.398645	0.409169	0.096329	0.239933	0.250717	0.268218	0.241131	0.385424	0.101577	0.107059	0.405939	0.095857	0.398645	0.409169	0.096329	0.239933	0.250717	0.268218	0.241131	0.385424	0.101577	0.107059	0.405939	
1859000	71.353907	3	0.097148	0.403736	0.407190	0.091926	0.231549	0.259685	0.250282	0.258484	0.385424	0.101577	0.107059	0.405939	0.097148	0.403736	0.407190	0.091926	0.231549	0.259685	0.250282	0.258484	0.385424	0.101577	0.107059	0.405939	
1860000	71.353907	3	0.097652	0.398875	0.405688	0.097784	0.241324	0.256994	0.251659	0.250023	0.385424	0.101577	0.107059	0.405939	0.097652	0.398875	0.405688	0.097784	0.241324	0.256994	0.251659	0.250023	0.385424	0.101577	0.107059	0.405939	
1861000	71.353907	3	0.101827	0.400456	0.398653	0.099063	0.235546	0.266838	0.239680	0.257936	0.394927	0.101428	0.098789	0.404856	0.101827	0.400456	0.398653	0.099063	0.235546	0.266838	0.239680	0.257936	0.394927	0.101428	0.098789	0.404856	
1862000	71.353907	3	0.098467	0.406302	0.401351	0.093880	0.236309	0.261083	0.250946	0.251662	0.384846	0.103038	0.104866	0.407250	0.098467	0.406302	0.401351	0.093880	0.236309	0.261083	0.250946	0.251662	0.384846	0.103038	0.104866	0.407250	
1863000	71.353907	3	0.098467	0.406302	0.401351	0.093880	0.239000	0.260270	0.250232	0.250498	0.391293	0.100055	0.100702	0.407950	0.098467	0.406302	0.401351	0.093880	0.239000	0.260270	0.250232	0.250498	0.391293	0.100055	0.100702	0.407950	
1864000	71.353907	3	0.095786	0.408359	0.401736	0.094119	0.239000	0.260270	0.250232	0.250498	0.386230	0.096214	0.104645	0.412911	0.095786	0.408359	0.401736	0.094119	0.239000	0.260270	0.250232	0.250498	0.386230	0.096214	0.104645	0.412911	
1865000	71.353907	3	0.095786	0.408359	0.401736	0.094119	0.257004	0.257283	0.239663	0.246050	0.394658	0.099395	0.105179	0.400768	0.095786	0.408359	0.401736	0.094119	0.257004	0.257283	0.239663	0.246050	0.394658	0.099395	0.105179	0.400768	
1866000	71.353907	4	0.098301	0.405388	0.402449	0.093862	0.248606	0.260505	0.249809	0.241081	0.396382	0.110285	0.100495	0.392838	0.098301	0.405388	0.402449	0.093862	0.229525	0.258183	0.229406	0.282886	0.396382	0.110285	0.100495	0.392838	
