Generation	ConcentrationParm	Degree	TL[1]	TL[2]	TL[3]	TL[4]	
312000	0.879386	1	0.886290	0.886290	0.886290	0.886290	
313000	0.879386	1	0.882313	0.882313	0.882313	0.882313	
314000	0.879386	1	0.829653	0.829653	0.829653	0.829653	
315000	0.879386	1	0.852749	0.852749	0.852749	0.852749	
316000	0.879386	1	0.879997	0.879997	0.879997	0.879997	
317000	0.879386	1	0.856392	0.856392	0.856392	0.856392	
318000	0.879386	1	0.864352	0.864352	0.864352	0.864352	
319000	0.879386	1	0.826295	0.826295	0.826295	0.826295	
320000	0.879386	1	0.876992	0.876992	0.876992	0.876992	
321000	0.879386	1	0.933070	0.933070	0.933070	0.933070	
322000	0.879386	1	0.931247	0.931247	0.931247	0.931247	
323000	0.879386	1	0.795188	0.795188	0.795188	0.795188	
324000	0.879386	1	0.896509	0.896509	0.896509	0.896509	
325000	0.879386	1	0.818858	0.818858	0.818858	0.818858	
326000	0.879386	1	0.886524	0.886524	0.886524	0.886524	
327000	0.879386	1	0.884122	0.884122	0.884122	0.884122	
328000	0.879386	1	0.909197	0.909197	0.909197	0.909197	
329000	0.879386	1	0.980373	0.980373	0.980373	0.980373	
330000	0.879386	1	0.847771	0.847771	0.847771	0.847771	
331000	0.879386	1	0.847540	0.847540	0.847540	0.847540	
332000	0.879386	1	0.865941	0.865941	0.865941	0.865941	
333000	0.879386	1	0.869155	0.869155	0.869155	0.869155	
334000	0.879386	1	0.905445	0.905445	0.905445	0.905445	
335000	0.879386	1	0.881354	0.881354	0.881354	0.881354	
336000	0.879386	1	0.994774	0.994774	0.994774	0.994774	
337000	0.879386	1	0.952974	0.952974	0.952974	0.952974	
338000	0.879386	1	0.949386	0.949386	0.949386	0.949386	
339000	0.879386	1	0.947873	0.947873	0.947873	0.947873	
340000	0.879386	1	0.896922	0.896922	0.896922	0.896922	
341000	0.879386	1	0.903462	0.903462	0.903462	0.903462	
342000	0.879386	1	0.877281	0.877281	0.877281	0.877281	
343000	0.879386	1	0.899922	0.899922	0.899922	0.899922	
344000	0.879386	1	0.858119	0.858119	0.858119	0.858119	
