Generation	ConcentrationParm	Degree	Pi[A,1]	Pi[C,1]	Pi[G,1]	Pi[T,1]	Pi[A,2]	Pi[C,2]	Pi[G,2]	Pi[T,2]	Pi[A,3]	Pi[C,3]	Pi[G,3]	Pi[T,3]	Pi[A,4]	Pi[C,4]	Pi[G,4]	Pi[T,4]	
5467000	0.879386	1	0.295487	0.183319	0.171094	0.350100	0.295487	0.183319	0.171094	0.350100	0.295487	0.183319	0.171094	0.350100	0.295487	0.183319	0.171094	0.350100	
5468000	0.879386	1	0.327956	0.170419	0.151711	0.349914	0.327956	0.170419	0.151711	0.349914	0.327956	0.170419	0.151711	0.349914	0.327956	0.170419	0.151711	0.349914	
5469000	0.879386	2	0.254285	0.225389	0.243906	0.276420	0.254285	0.225389	0.243906	0.276420	0.370710	0.155840	0.149532	0.323919	0.370710	0.155840	0.149532	0.323919	
5470000	0.879386	2	0.220401	0.254676	0.211725	0.313198	0.241661	0.226859	0.201051	0.330428	0.241661	0.226859	0.201051	0.330428	0.241661	0.226859	0.201051	0.330428	
5471000	0.879386	1	0.282153	0.229173	0.208643	0.280031	0.282153	0.229173	0.208643	0.280031	0.282153	0.229173	0.208643	0.280031	0.282153	0.229173	0.208643	0.280031	
5472000	0.879386	1	0.272500	0.236028	0.169525	0.321947	0.272500	0.236028	0.169525	0.321947	0.272500	0.236028	0.169525	0.321947	0.272500	0.236028	0.169525	0.321947	
5473000	0.879386	1	0.301774	0.200551	0.167432	0.330243	0.301774	0.200551	0.167432	0.330243	0.301774	0.200551	0.167432	0.330243	0.301774	0.200551	0.167432	0.330243	
5474000	0.879386	1	0.320117	0.153021	0.159894	0.366968	0.320117	0.153021	0.159894	0.366968	0.320117	0.153021	0.159894	0.366968	0.320117	0.153021	0.159894	0.366968	
5475000	0.879386	1	0.322626	0.200793	0.176798	0.299784	0.322626	0.200793	0.176798	0.299784	0.322626	0.200793	0.176798	0.299784	0.322626	0.200793	0.176798	0.299784	
5476000	0.879386	1	0.318095	0.203872	0.193541	0.284492	0.318095	0.203872	0.193541	0.284492	0.318095	0.203872	0.193541	0.284492	0.318095	0.203872	0.193541	0.284492	
5477000	0.879386	1	0.289657	0.238323	0.199720	0.272301	0.289657	0.238323	0.199720	0.272301	0.289657	0.238323	0.199720	0.272301	0.289657	0.238323	0.199720	0.272301	
5478000	0.879386	1	0.277024	0.225563	0.174629	0.322784	0.277024	0.225563	0.174629	0.322784	0.277024	0.225563	0.174629	0.322784	0.277024	0.225563	0.174629	0.322784	
5479000	0.879386	1	0.323547	0.189442	0.145042	0.341969	0.323547	0.189442	0.145042	0.341969	0.323547	0.189442	0.145042	0.341969	0.323547	0.189442	0.145042	0.341969	
5480000	0.879386	2	0.280606	0.235572	0.226110	0.257712	0.280606	0.235572	0.226110	0.257712	0.403541	0.162486	0.126380	0.307593	0.403541	0.162486	0.126380	0.307593	
